NMDC[1] hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,Notes
UFOHub,No,Proprietary Freeware,Yes,8.19.9 (2019-Sep-05),Yes,No,Yes,Yes,Unknown,[null],[null]
Verlihub,Yes,GNU GPL,Yes,1.2.0.0 (2019-03-10),No,Yes,Unknown,No,C++  Lua  Python  Perl,[null],[added]
PTDCH,Yes,GNU GPL,Yes,Never released since 2008,Yes,Unknown,Unknown,No,Visual Basic  Jscript  VBscript,DDCH,[added]
Dtella,Yes,GNU GPL,Yes,1.2.9 (2015-06-07)[2],No,No,Yes,No,Python,[null],[added]
HeXHub,Yes,Open Software License,Yes,5.12 (2014-03-01),Yes,Unknown,Unknown,No,Assembly,[null],[added]
Open Direct Connect Hub,Yes,GNU GPL,No,0.8.3 (2014-08-14),No,Unknown,Unknown,No,C  Perl,[null],Available in Debian[3] and OpenWrt[4]
Flexhub,Yes,GNU AGPL,Yes,Beta 0.2 svn 1469 (2013-10-22),Pending,Yes,Unknown,No,Lua,[null],[added]
PtokaX,Yes,GNU GPL,Yes,0.5.2.2 (2017-04-11)[5],Yes,Yes,Unknown,Yes,C++  Lua,[null],[added]
RusHub,Yes,GNU GPL,Yes,2.3.10 (2012-06-10)[6],No,Yes,Unknown,Yes,C++  Lua,Verlihub[7],[added]
Eximius[8],No,Proprietary Freeware,Yes,2007,Yes,Unknown,Unknown,No,C#  Lua,[null],[added]
DB Hub,Yes,GNU GPL,No,0.451 (2008-02-08),Unknown,Unknown,Unknown,No,Unknown,OpenDCHub,[added]
openDCd,Yes,GNU GPL,No,2002,Unknown,Unknown,Unknown,No,Unknown,[null],[added]
DDCH DevDirect Connect Hub,Unknown,Unknown,No,[null],Yes,No,No,No,Visual Basic  Jscript,[null],[added]
py-dchub,Yes,MIT License,No,0.2.4 (2006-02-13),Unknown,Unknown,Unknown,No,Python,[null],[added]
Aquila,Yes,GNU GPL,No,0.1.11-pre4-beta4 (2015-02-17),No,Yes,No,No,C++  Lua,[null],[added]
YnHub,No,Proprietary Freeware,Yes,1.0364.126 (2016-07-15),Yes,No,No,No,Delphi,[null],[added]
LamaHub,Yes,GNU GPL,No,0.0.6.3 (2010-04-25),Unknown,Unknown,Unknown,No,C,[null],[added]
DC Sharp Hub,Yes,GNU GPL,No,3.0.4 beta (2004-09-06),Unknown,Unknown,Unknown,No,C#,[null],[added]
NMDC hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,[added]
