XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0060,Publish-Subscribe,[null],<ref name="ejabberd-protocols" />,[null],Contrib.<ref name="jabberd14-features" /><ref>Idavoll . Idavoll (2011-02-13). Retrieved on 2013-07-17.</ref>,<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0065,SOCKS5 Bytestreams,[null],<ref name="ejabberd-protocols" />,[null],Contrib.<ref name="jabberd14-features" /><ref>proxy65 - A SOCKS5 Bytestreams proxy for use in Jabber/XMPP file transfer. - Google Project Hosting. Code.google.com. Retrieved on 2013-07-17.</ref>,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0066,Out of Band Data,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],[null],[null],[null],[null],<ref name="tigase-features" />
0068,Field Standardization for Data Forms,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,[null],<ref name="M-Link-features" />,[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0070,Verifying HTTP Requests via XMPP,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0073,Basic IM Protocol Suite,[null],[null],[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[null],[null],[null],<ref name="openfire-features"/>,[null],<ref name="tigase-features" />
0077,In-Band Registration,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0078,Non-SASL Authentication,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0079,Advanced Message Processing,[null],Contrib.<ref name="ejabberd-protocols" /><ref>[#EJAB-449&#93; Support for XEP-0079: Advanced Message Processing - ProcessOne - Support. Support.process-one.net. Retrieved on 2013-07-17.</ref>,Contrib.<ref name="ejabberd-protocols" />,[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],{{Yes  partial}},[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0080,User Location,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
