Country,Spacecraft,Power,Thrust,Specific impulse,Year launched
[null],DubaiSat-2,0.3 kW,7 mN,1000s,2013
[null],Shijian 17 (HEP-100MF  magnetic focusing hall thruster),1.4 kW,[null],1850s,2016
Shijian 17 (LHT-100),1.35 kW,80 mN,1600s,[added],[added]
