[null],FAT12,FAT16,FAT32,HPFS,ISO 9660,NTFS,UDF
Windows 95,[null],[null],(OSR2 or above),[null],[null],[null],[null]
Windows 98,[null],[null],[null],[null],[null],[null],(1.5  read)
Windows Me,[null],[null],[null],[null],[null],[null],(1.5  read)
