Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB<ref name="ubuntuforums" />
CoreFTP,CoreFTP.com,2003,2.2 (build 1751),Freeware,[null]
Fetch,Fetch Softworks,1989,5.7.7,Proprietary,[null]
Secure FTP,Glub Tech,1999,2.6.2,Apache,[null]
Sysax FTP Automation,Codeorigin  LLC,2005,5.31,Proprietary,[null]
[added],[added],[added],[added],[added],[added]
