Name,Creator,Initial public release,Predecessor,Current stable version,Release date,Cost  availability,Preferred license<ref name="license" group="g"/>,Target system type
MPE/XL,HP,1987,MPE,7.5,2002,[null],[null],Server
MINIX 3,Andrew S. Tanenbaum,2005,Minix2,3.3.0,2014,[null],[null],Workstation
NetBSD,The NetBSD Project,1993,386BSD,8.1,2019  May 31,[null],[null],NAS  server  workstation  embedded
NetWare,Novell,1985,S-Net,6.5 SP8,2009  May 6,(one-user)}},[null],Server
NeXTSTEP,NeXT,1989,Unix,3.3,1995,[null],[null],Workstation
OpenBSD,The OpenBSD Project,1995,NetBSD 1.0,6.5,2019  May 1,[null],[null],Server  NAS  workstation  embedded
OpenIndiana,Many  based on software developed by Sun Microsystems and many others,2010,OpenSolaris,2019.04,2017  May 3<ref></ref>,[null],[null],Server  workstation
OpenVMS,DEC (now VSI),1977,RSX-11M,8.4-2L2,2017  July 10,[null],[null],Server  workstation
OS/360,IBM,1966,None,Operating System/360 R21.8,1972  August,[null],[null],IBM mainframe
OS/390,IBM,1995,MVS,OS/390 Version 2 R10,2000  September 29,[null],[null],IBM mainframe
OS 2200,Unisys,1967 as Exec 8e,Exec 8  OS 1100,CP OS 16 (Exec 49.2),2015  February 27,[null],[null],Server
OS/2,IBM and Microsoft,1987,MS-DOS,4.52,2001,}},[null],Personal computer  server
Plan 9,Bell Labs,1993,Unix,Fourth Edition,2003 (except for minor later updates),[null],[null],Workstation  server  embedded  HPC
QNX,QNX Software Systems,1982,Unix  POSIX,7.0.0,2017  March,[null],[null],Automotive  medical  smartphones  consumer  industrial  embedded  safety
Solaris,Sun (now Oracle Corporation),1992,SunOS,11.4,2018  August 28,</ref>)}},[null],Server  workstation
Symbian,Symbian Ltd.,1998,EPOC32,9.5,2009,[null],[null],Phones
Symbian platform,Symbian Foundation,2010 (initially 1998 as Symbian),Symbian,3.0.4,2010,[null],[null],embedded
Windows Server (NT family),Microsoft,1993,OS/2  Windows 3.x and MS-DOS,Windows Server 2019 (Version 10.0.17763),2018  October 2,[null],; Source-available,Server  NAS  embedded
Windows (NT family),Microsoft,1993,OS/2  Windows 9x and MS-DOS,Windows 10 (Version 1903),2019  May 21,</ref>}},; Source-available,Workstation  personal computer  media center  Tablet PC  embedded
Windows (classic 9x family),Microsoft,1995,MS-DOS  Windows NT 3.5,Windows Me (Win 4.90.3000),2000,[null],[null],Personal computer  media center
RISC iX,Acorn Computers,1988,BSD 4.3,1.21c,1993,[null],[null],Workstation
RISC OS,Acorn Computers,1987,Arthur  also the BBC Master OS,3.71,1997,[null],[null],Education  personal computer
RISC OS 4,RISCOS Ltd  Pace plc,1999,RISC OS,4.39,2004,[null],[null],Education  personal computer
RISC OS 5,Castle Technology  RISC OS Open,2002,RISC OS 4,5.24<ref></ref>,2018,[null],[null],Education  personal computer
RISC OS 6,RISCOS Ltd,2006,RISC OS 4,6.20,2009,[null],[null],Education  personal computer
ZETA,yellowTAB,2005,BeOS R5,1.5,2007,[null],[null],Personal computer  media center  workstation
STOP 6  XTS-400,BAE Systems,2003,STOP 5  XTS-300,6.5,2008  August,60.000|2008}}+; bundled with XTS hardware and OEM licensed,[null],Server  workstation
ReactOS,ReactOS development team,1996,Windows NT,0.4.10,2018  November 6,[null],[null],Workstation  personal computer
TrueOS,PC-BSD Software,2006,FreeBSD<ref name="PC-BSD" group="g"/>,10.1<ref></ref>,2014  November 16,[null],[null],Personal computer  workstation  server
VxWorks,Wind River Systems,1987,VRTX,7,2014 March,[null],[null],Embedded Real-time systems
z/OS,IBM,2000,OS/390,Version 2.3 (V2R3),2017  September 29,[null],[null],IBM mainframe
z/VSE,IBM,2007,VSE/ESA,6.2,2017  December 1,[null],[null],IBM mainframe
z/VM,IBM,2000,VM,6.4,2016  November 11,[null],[null],IBM mainframe
HP NonStop,HP (now Hewlett Packard Enterprise),1974,Guardian,H06.24/J06.13,2012,[null],[null],HP Nonstop Servers
Name,Creator,Initial public release,Predecessor,Current stable version,Release date,Cost  availability,Preferred license<ref name="license" group="g"/>,Target system type
