IDE,License,Windows,Linux,macOS,Other platforms,Debugger,Profiler,Notes
Visual Studio Code (using the Julia extension),[null],[null],[null],[null],FreeBSD<ref></ref>,<ref></ref>,[null],License is for the extension; and Microsoft's source code (only).
Emacs / spacemacs,[null],[null],[null],[null],FreeBSD,[null],[null],ESS extension support for emacs. vi support also available  e.g. in spacemacs (useful for pair programming ).
