Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
Cisco,Clam AntiVirus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],1998,United States,[added]
FRISK Software International,F-PROT Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],1989,Iceland,[added]
Panda Security,Panda DesktopSecure for Linux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],2009,Spain,[added]
Sophos,Sophos AntiVirus for Unix,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],-,UK,Central management
Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
