Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
The Pirate Bay,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>The Pirate Bay Traffic Statistics at Alexa</ref>
Rarbg,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>Rarbg Traffic Statistics at Alexa</ref>
YTS.AM<ref></ref>,Movies,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>yts Traffic Statistics at Alexa</ref>
1337x<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],<ref>1337x Traffic Statistics at Alexa</ref>
<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>Rutracker Traffic Statistics at Alexa</ref>
Torrent Project<ref></ref>,DHT search engine,[null],<ref>Torrent Project Traffic Statistics at Torrentproject</ref>,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],<ref>TorrentProject Traffic Statistics at Alexa</ref> -->
Limetorrents<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>limetorrents Traffic Statistics at Alexa</ref>
Torrents.me<ref></ref>,Search,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>torrents Traffic Statistics at Alexa</ref>
Zooqle<ref></ref>,Search,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>Zooqle Traffic Statistics at Alexa</ref>
Torrent downloads<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>torrentdownloads Traffic Statistics at Alexa</ref>
IPTorrents<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>IPTorrents Traffic Statistics at Alexa</ref>
Demonoid,[null],[null],[null],[null],[null],[null],[null],[null],{{?}},{{?}},[null],<ref>Demonoid Traffic Statistics at Alexa</ref>
YourBittorrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],<ref>YourBittorrent Traffic Statistics at Alexa</ref>
Torlock<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,?,<ref>Torlock Traffic Statistics at Alexa</ref>
torrentleech.org<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>https://www.alexa.com/siteinfo/torrentleech.org at Alexa</ref>
redacted.ch<ref></ref>,Music,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>https://www.alexa.com/siteinfo/redacted.ch at Alexa</ref>
HDBits<ref></ref>,Movies,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>HDBits Traffic Statistics at Alexa</ref>
Worldwidetorrents.me<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>Worldwidetorrents.me Traffic Statistics at Alexa</ref>
ETTV<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>ettv.tv Traffic Statistics at Alexa</ref>
RevolutionTT<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>RevolutionTT Traffic Statistics at Alexa</ref>
apollo.rip<ref></ref>,Music,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>https://www.alexa.com/siteinfo/apollo.rip at Alexa</ref>
Waffles<ref></ref>,Music,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>Waffles Traffic Statistics at Alexa</ref>
AnimeSuki,Anime & otaku subculture<ref></ref>,[null],<ref></ref>,[null],[null],[null],[null],[null],[null],?,?,<ref>Anime Suki Traffic Statistics at Alexa</ref>
etree,Live concerts,[null],[null],[null],[null],[null],[null],[null],[null],?,?,<ref>eTree Traffic Statistics at Alexa</ref>
MovieMagnet<ref>New and Promising Torrent Sites TorrentFreak</ref>,Movies,[null],[null],[null],[null],[null],[null],[null],[null],[null],?,<ref>moviemagnet Traffic Statistics at Alexa</ref>
NyaaV2,CJK content  especially otaku and anime,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>NyaaV2 Traffic Statistics at Alexa</ref>
Kickass Torrent <ref> kat.cr revived as katcr.co katcr.co</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref>katcr.co Traffic Statistics at Alexa</ref>
Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
