Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB<ref name="ubuntuforums" />
ALFTP,ESTsoft,2000,5.31,Proprietary,[null]
ExpanDrive (Mac),ExpanDrive  Inc,2008,[null],Proprietary,[null]
ExpanDrive (Windows) (formerly SFTPDrive),ExpanDrive  Inc,2005,[null],Proprietary,[null]
ForkLift,BinaryNights  LLC,2007,3.2.2,Proprietary,[null]
FTP Commander,Internetsoft Corporation,1997,9.21,Proprietary,[null]
FTP Explorer,FTPx Corp.,October  1996,1.0.1.53; January 2012,Proprietary,[null]
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),10.0.6,Proprietary,[null]
Steed,French Fry  SAS,2012,1.2.1.1169,Proprietary,[null]
Transmit,Panic  Inc.,1998,5.0.4,Proprietary,[null]
WISE-FTP,AceBIT,1998,7.0 (Build 7.0.4),Proprietary,[null]
edtFTPj,Bruce P. Blackshaw,2000,2.3.0,Proprietary,[null]
edtFTPnet,Bruce P. Blackshaw,2003,2.2.1,Proprietary,[null]
