Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ANTLR4,ALL(*)<ref></ref>,EBNF,C#  Java  Python  JavaScript  C++  Swift  Go  PHP,[null],generated,[null],[null],, BSD
ANTLR3,LL(*),EBNF,ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby,[null],generated,[null],[null],, BSD
APG,Recursive descent  backtracking,ABNF,C  C++  JavaScript  Java,[null],none,[null],[null],, GNU GPL
AXE,Recursive descent,AXE/C++,C++17  C++11,[null],none,[null],[null],, Boost
Beaver,LALR(1),EBNF,Java,[null],external,[null],[null],, BSD
Belr,Recursive descent,ABNF,C++17  C++11,[null],included,[null],[null],, GNU GPL  proprietary
Bison,LALR(1)  LR(1)  IELR(1)  GLR,Yacc,C  C++  Java,[null],external,[null],[null],, GNU GPL with exception
Bison++<ref group="note">Bison 1.19 fork</ref>,LALR(1),?,C++,[null],external,[null],[null],, GNU GPL
Bisonc++,LALR(1),?,C++,[null],external,[null],[null],, GNU GPL
Booze-tools,LALR(1) or LR(1) canonical or minimal,BNF with macros in place of EBNF,State machine can be runtime-generated or saved as JSON,, separable,included,[null],[null],, public domain
BtYacc,Backtracking Bottom-up,?,C++,[null],external,[null],[null],, public domain
byacc,LALR(1),Yacc,C,[null],external,[null],[null],, public domain
BYACC/J,LALR(1),Yacc,C  Java,[null],external,[null],[null],, public domain
CL-Yacc,LALR(1),Lisp,Common Lisp,[null],external,[null],[null],, MIT
Coco/R,LL(1),EBNF,C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET,[null],generated,[null],[null],, GNU GPL
CookCC,LALR(1),Java annotations,Java,[null],generated,[null],[null],, Apache 2.0
CppCC,LL(k),?,C++,[null],generated,[null],[null],, GNU GPL
CSP,LR(1),?,C++,[null],generated,[null],[null],, Apache 2.0
CUP,LALR(1),?,Java,[null],external,[null],[null],, BSD-like
Dragon,LR(1)  LALR(1),?,C++  Java,[null],generated,[null],[null],, GNU GPL
eli,LALR(1),?,C,[null],generated,[null],[null],, GNU GPL  GNU LGPL
Tunnel Grammar Studio,Recursive descent  backtracking,ABNF,C++,[null],generated,[null],[null],[added]
Essence,LR(?),?,Scheme 48,[null],external,[null],[null],, BSD
Eto.Parse,LL(k),BNF  EBNF or C#,N/A (state machine is runtime generated),[null],internal,[null],[null],, MIT
eyapp,LALR(1),?,Perl,[null],external or generated,[null],[null],, Artistic
Frown,LALR(k),?,Haskell 98,[null],external,[null],[null],, GNU GPL
geyacc,LALR(1),?,Eiffel,[null],external,[null],[null],, MIT
GOLD,LALR(1),BNF,x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic .NET  Visual C++,[null],generated,[null],[null],, zlib modified
GPPG,LALR(1),Yacc,C#,[null],external,[null],[null],, BSD
Grammatica,LL(k),BNF dialect,C#  Java,[null],generated,[null],[null],, BSD
HiLexed,LL(*),EBNF or Java,Java,[null],internal,[null],[null],, GNU LGPL
Hime Parser Generator,LALR(1)  GLR,BNF dialect,C#  Java  Rust,[null],generated,[null],[null],, GNU LGPL
Hyacc,LR(1)  LALR(1)  LR(0),Yacc,C,[null],external,[null],[null],, GNU GPL
Irony,LALR(1),C#,N/A (state machine is runtime generated),[null],internal,[null],[null],, MIT
