Model,Memory slots,Memory Max,User-replaceable HDD/SSD?,HDD/SSD bays,Expansion slots
Mac Mini<ref name="ministore"/>,[null],16 GB,[null],1,[null]
iMac<ref name="imacstore"/>,None (21.5")  4 (27"),16 GB (21.5")  64 GB (27"),[null],1,[null]
Mac Pro<ref name="macprostore"/>,4,64 GB,[null],1,[null]
MacBook Air<ref name="macbookair" />,[null],8 GB,[null],1,[null]
MacBook,[null],16 GB,[null],[null],[null]
MacBook Pro (2017)<ref name="macbookpro" />,[null],16 GB,[null],[null],[null]
MacBook Pro (2015)<ref name="macbookpro" />,[null],16 GB,[null],1,[null]
