Name,Developer,First release date,Last release,Last release date,License
Apache MINA SSHD,Apache Software Foundation,2009,2.3.0,2019-07-15<ref>https://github.com/apache/mina-sshd/</ref>,[null]
CopSSH,Itefix,2003-08-12,6.4.0,2018-10-20<ref></ref>,, Free for non-commercial use
CrushFTP Server,CrushFTP  LLC,2003-01-01,9.0.0,2018-10-30,, shareware
Dropbear,Matt Johnston,2003-04-06<ref>Changes in Dropbear in official web page</ref>,2019.78,2019-03-27<ref></ref>,[null]
lsh,Niels Möller,1999-05-23<ref></ref>,2.1,2013-06-26,[null]
OpenSSH (OpenBSD Secure Shell),The OpenBSD project,1999-12-01,8.0,2019-04-18<ref></ref>,[null]
[added],[added],[added],[added],[added],[added]
