libguestfs,[null],[null],[null],[null],[null],raw  qcow2  VMDK  VHD,raw  qcow2  VMDK  VHD,Linux,[added]
Loop device<ref></ref>,[null],[null],[null],[null],[null],Raw image,[null],Linux  FreeBSD,[added]
MagicISO,[null],[null],[null],[null],[null],Both MagicISO and MagicDisc: ISO  BIN+CUE  IMA  IMG  CIF  NRG  IMG+CCD  MDF+MDS  VCD  VaporCD  P01  MD1  XA  VC4/000  VDI  C2D  BWI+BWT  CDI  TAO/DAO  PDI.<ref name=magicisofeatures /><ref name="miso-magicdisc-overview" /> MagicISO only: DMG  FLP  DSK  BFI  BIF  WBT<ref name=magicisofeatures />,ISO  BIN+CUE  UIF  NRG  DMG<ref name="miso-convert" />,Windows,<ref></ref>
mount,[null],[null],[null],[null],[null],ISO,[null],Linux,[added]
Nero Multimedia Suite,[null],[null],[null],[null],[null],ISO  NRG,ISO  NRG,Windows,[added]
Nero Burning ROM,[null],[null],[null],[null],[null],ISO  NRG,ISO  NRG,Windows,[added]
Nero Linux,[null],[null],[null],[null],[null],ISO  NRG,ISO  NRG,Linux,[added]
Norton Ghost,[null],[null],[null],[null],[null],GHO  GHS  VMDK  V2I  IV2I  PQI,GHO  GHS  VMDK,Windows,[added]
OSFmount,[null],[null],[null],[null],[null],IMG  DD  ISO  BIN+CUE  00n  NRG  SDI  AFF(v3)  AFM  AFD  VMDK  E01  S01  VHD,[null],Windows,[added]
Partimage,[null],[null],[null],[null],[null],Compressed file system images: Ext2  Ext3  Reiserfs  FAT16  FAT32  HPFS  JFS  Xfs  UFS  HFS and NTFS,Ext2  Ext3  Reiserfs  FAT16  FAT32  HPFS  JFS  Xfs  UFS  HFS and NTFS,Linux,[added]
PeaZip,[null],[null],[null],[null],[null],DMG  ISO  VHD  WIM<ref></ref>,[null],Windows  Linux,[added]
Roxio Creator<ref name="Roxio Creator" />,[null],[null],[null],[null],[null],ISO  C2D  BIN+CUE  GI,ISO  GI,Windows,[added]
Roxio Toast<ref name="Roxio Toast" />,[null],[null],[null],[null],[null],ISO  BIN+CUE  IMG  DMG  CDR  NRG,[null],macOS,[added]
UltraISO,[null],[null],[null],[null],[null],BIN+CUE  BWI+BWT  B5T+B5I  B6T+B6I  C2D  CDI  CIF  DAA  DMG  FCD  G2D  GCD  GI  IMA  IMG+CCD  IML  ISO  ISZ  LCD  MDF+MDS  NCD  NRG  P01+MD1+XA  PDI  PXI  TAO  DAO  UIF  VaporCD  VC4/000  VCD  VDI  XMD+XMF <ref>http://www.ezbsystems.com/ultraiso/history.htm</ref>,BIN+CUE  CCD+IMG+SUB  ISO  ISZ  MDF+MDS  NRG,Windows,[added]
Virtual CloneDrive,[null],[null],[null],[null],[null],ISO  BIN  IMG  UDF  DVD  CCD,[null],Windows,[added]
Virtual CD-ROM Control Panel,[null],[null],[null],[null],[null],ISO,[null],Windows,[added]
VirtualDrive Pro,[null],[null],[null],[null],[null],[null],[null],Windows,[added]
WADK,[null],[null],[null],[null],[null],WIM  WSM,WIM  WSM,Windows NT,[added]
WinCDEmu,[null],[null],[null],[null],[null],ISO  BIN  NRG  MDF+MDS  CCD  IMG,[null],Windows,[added]
File Explorer,[null],[null],[null],[null],[null],ISO <ref></ref><ref></ref> VHD<ref></ref>,VHD,Windows NT,[added]
WinISO,[null],[null],[null],[null],[null],ISO  BIN  CCD  CUE  DVD  IMG  MDF  MDS  NRG,ISO  BIN  CCD  CUE  DVD  IMG  MDF  MDS  NRG,Windows,[added]
WinRAR,[null],[null],[null],[null],[null],ISO,[null],Windows,[added]
WinZip,[null],[null],[null],[null],[null],ISO,[null],Windows,[added]
xorriso,[null],[null],[null],[null],[null],ISO,ISO,Unix <br /> Linux <br />Cygwin <br />macOS,[added]
Name,Creates?,Modifies?,Mounts?,Writes/<wbr/>Burns?,Extracts?,Input format,Output format,OS,License
