[null],Creator,Latest stable version,Release date,Software license,Open source,Programming language,Plugin support
Appetizer,Laurent Cozic,1.4.6.494,[null],GPL,[null],C++  wxWidgets,[null]
ASuite,SalvadorSoftware,1.5.1.2,[null],GPL,[null],Delphi,[null]
Classic Shell,Ivo Beltchev,4.3.1,[null],MIT,[null],C++,(via shell namespace extensions inside the menu)
LiberKey,Captel SARL,5.8.1129,[null],Proprietary,[null],[null],[null]
PortableApps.com Platform,Rare Ideas  LLC,15.0.2,[null],GPL,<ref group="note">PortableApps.com branding is trademarked</ref>,Delphi,[null]
SliderDock,Dimitri Roozendaal,1.21,[null],Creative Commons,[null],[null],[null]
Wox,Many,1.3.524,[null],MIT,[null],C#,[null]
