Vehicle,Origin,Manufacturer,Payload mass to ... (kg),Launches,Date of flight
Starship<ref name="sx20190930"></ref> (reusable),[null],SpaceX,+<ref name="sx20190930"/>,+ with in-orbit refueling<ref name="sx20190930"/>,+ to Mars with in-orbit refueling<ref name="sx20190930"/>
Terran 1,[null],Relativity Space,<ref name="Relativity-Terran 1"></ref>,[null],to SSO
Unha,[null],KCST,<ref></ref>,[null],[null]
Vega,[null],ESA / ASI,<ref></ref>,[null],to SSO<ref name=vega-manual></ref>
Vega C,[null],ESA / ASI,<ref name=avio-vega-c></ref>,[null],[null]
Vega E,[null],ESA / ASI,<ref></ref>,[null],[null]
Vikram l<ref name="Launch Vehicle"></ref>,[null],Skyroot aerospace<ref></ref>,[null],[null],to SSPO
Vikram ll<ref name="Launch Vehicle"/>,[null],Skyroot aerospace,[null],[null],to SSPO
Vikram lll<ref name="Launch Vehicle"/>,[null],Skyroot aerospace,[null],[null],to SSPO
Vulcan / Centaur,[null],ULA,}}<ref name=ULA-20180927></ref>,}}<ref name=ULA-20180927 />,}} to GEO<ref name=ULA-20180927 /><ref name=ULA-20150505></ref>
Vulcan / ACES,[null],ULA,}}<ref name=d4ppg /><ref></ref>,}},}} to TLI
Yun Feng,[null],Taiwan National Chung-Shan Institute of Science and Technology,<ref></ref>,[null],[null]
Yenisei<ref name=zak-yenisei></ref>,[null],TsSKB-Progress RSC Energia,–115.000<ref name=tass-20180123></ref>,[null],to TLI<ref name=energia-5v></ref><ref name=popmech-20190208 />
Zenit-3F,[null],Yuzhnoye,[null],[null],to GEO<ref></ref>
Zenit-3SL,[null],Yuzhmash RSC Energia,<ref name=GSP-Zenit3 />,[null],[null]
Zenit-3SLB / 3M,[null],Yuzhmash RSC Energia,[null],<ref name=GSP-Zenit3 />,[null]
Zero,[null],Interstellar Technologies,[null],[null],to SSO<ref name=spacenews-zero></ref>
Zhuque-1,[null],LandSpace,<ref name=spacenews-20180802></ref>,[null],to SSO
Zhuque-2,[null],LandSpace,<ref name=spacenews-20180710></ref>,[null],to SSO
