Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
eyeBeam,Windows,[null],[null],SIP-SIMPLE,[null],[null],6 party audio; 3 party video,Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing,1.5.20.1;
FaceTime,iOS  macOS,[null],[null],SIP  IETF  Signaling protocol for VoIP  STUN  TURN and ICE| IETF  technologies for traversing firewalls and NAT,H.264 Video  AAC-ELD Audio  H.263 and VP8,RTP  SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP.,20,Video  voice  conferencing  with additional tools available as "Services".,[null]
Google+ Hangouts,Linux  Windows  macOS  Android  iOS,(using libjingle),[null],XMPP,H.264/SVC  H.264/AVC  H.263 and VP8,[null],10,Video  chat  screen sharing  with additional tools available as "Hangout Apps".,{{Latest stable software release/Google+ Hangouts}}
IBM Sametime,Linux  macOS  Windows  mobile,[null],[null],SIP-SIMPLE  T.120,H.323,[null],[null],IM  File transfer  Voice  Presence  Server stored contact list  HTTP tunneling  plugins  embedable in Lotus Notes<ref>"Telephony with Lotus Sametime software". IBM.com. Retrieved 2010-02-16</ref>,8.5.2;
iCall,Linux  macOS  Windows  iOS  Android,[null],[null],SIP  AIM  ICQ  XMPP,Speex  CELT  WebM,[null],No limit,Video  file transfer  PC to phone  phone to PC  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  Voicemail,7.1.522
Jami by Savoir-faire Linux,Android  FreeBSD  iOS  iPhone  Linux  Microsoft Windows  OS X<ref></ref>,[null],[null],SIP  RTP  STUN per account  SRV  DHT  P2P,Audio: Opus  Speex  G.722  G.711  GSM  VP8  G.729  iLBC. Video: H.264  H.263  VP8  MPEG-4,[null],No limit,Blockchain ID-management  Gnome-KDE client  address book  multiple accounts  unlimited call number  call transfer  call hold-unhold  call recording  multi-way conferencing,[null]
Jitsi,Linux  macOS  Windows (all java supported). Experimental Android builds are also available.<ref></ref>,[null],[null],SIP-SIMPLE  XMPP-Jingle STUN ICE  TURN,SILK  G.722  Speex  Opus  G.711 (PCMU/PCMA)  iLBC  GSM  G.729  H.264  H.263  VP8,[null],[null],Text messaging  audio-video telephony  IPv6 (often broken <ref>Interview with Emil Ivov  Deploy360 blog</ref> P2P not supported<ref></ref>)  call recording  64-bit,[null]
KPhone,Linux (KDE),[null],[null],SIP  STUN  NAPTR-SRV,[null],[null],[null],Video  voice  IM  external Sessions  IPv6 support for UDP,1.2 (November 2008)
Librestream Onsight Connect,Windows  Android  iOS,[null],[null],SIP  RTP  STUN,G.711  H.264  MPEG  and others,[null],[null],Voice  video  conferencing  image sharing  incoming call/IM push notifications.,[null]
Linphone,Linux  Windows  macOS  Android  iPhone  BlackBerry,[null],[null],SIP,Speex  Opus  G711  GSM  G.722  VP8 (WebM)  H263  MPEG4  Theora and H264 (plugin),[null],[null],Video  IM  STUN  IPv6 (disables IPv4 support when enabled  P2P supported only by version 3.5.1-2),3.11.1;
Messages,macOS,[null],, only macOS and iOS,SIP AIM ICQ XMPP,H263  H264,[null],[null],Integrated  PBX independent,7.0;
MicroSIP,Windows,[null],[null],SIP  STUN  ICE  SIMPLE,Speex  iLBC  GSM  G.711  G.722  G.729  SILK  Linear PCM,[null],[null],Video  voice  IM and Presence,3.19.15
Mirial Softphone (Mirial s.u.r.l.),Windows 2000-XP-2003-Vista-7 (including 64-bit versions)  macOS (x86),[null],not free,SIP  RTSP,H.323,[null],[null],H.264 Full-HD 1080p video rx/tx  Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence  G.722.1/C wideband audio  Call recording/export  DV/HDMI/Component capture  Presentation (H.239  RFC-4796)  Encryption  Far End Camera Control  GPU accel (D3D and OpenGL),7.0.24;   discontinued
Mumble,Linux  macOS  iOS  Windows  Android,[null],[null],ICE,CELT  Speex  Opus,[null],No max (limited only by server bandwidth and memory),Chat with (limited) embedded HTML  Automatic Gain Control  very low latency  Access Control Lists for user management  Customizable In-Game Overlay for OpenGL and DirectX  Directional Audio  Plugin Support  Nested Channels  Echo cancellation for headset free use  Global Public Server List  Logitech G15 support  Push-To-Talk and Voice-Activation,1.2.19;
Nymgo,Windows  Android  iOS,[null],[null],SIP  RTP and RTCP,[null],[null],No,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9;
oovoo,macOS  iOS  Windows  Android,[null],[null],SIP  RTP and RTCP,[null],[null],12,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9;
Phoner,Windows,[null],[null],SIP  TAPI  CAPI,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,[null],8,Conferencing  call redirection  call recording,[null]
PhonerLite,Windows,[null],[null],SIP,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,[null],8,Conferencing  call redirection  call recording,[null]
QuteCom,Linux  macOS  Windows XP-2000,[null],[null],SIP,G.711  G.729  iLBC  AMR-NB  G.722  Speex  AMR-WB (G.722.2)  H.263  H.263+  H.264  Dirac<ref></ref>,[null],[null],Video  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  voicemail  wengo to phone  conferencing.,[null]
Roger Wilco GameSpy,Windows,[null],[null],Proprietary,[null],[null],[null],[null],[null]
Signal,Linux  macOS  Windows  Android  iPhone,open source  The clients are published under the GPLv3 license  while the server code is published under the AGPLv3 license,[null],<to be completed>,<to be completed>,<to be completed>,<to be completed>,Signal also allows users to send text messages  files  voice notes  pictures  GIFs  and video messages over a Wi-Fi or data connection to other Signal users on iOS  Android and a desktop app. The app also supports group messaging  read receipts and typing indicators  both of which can be disabled.,[null]
Skype,Linux(with limited functionality) <ref>http://opensourceforu.com/2017/06/microsoft-retire-skype-linux-app-july-1/</ref> macOS  Windows 2000-XP-Vista-7-Mobile (unsupported)  BREW  Windows Phone   Android  iPhone  PSP,[null],[null],Proprietary P2P protocol,SILK,[null],25 starting with version 3.6.0.216. 10 with 2.x,Conferencing  video  file transfer  voicemail  Skype to phone  phone to Skype  additional P2P extensions (games  whiteboard  etc...); depending on platform.,[null]
TeamSpeak,Linux  Windows  macOS  FreeBSD  Android  iOS,[null],[null],[null],CELT  Speex  Opus<ref></ref>,[null],32 unlicensed  512 with non-profit license  2000,Simultaneous server conferencing with tabs  3D sound effects  scalable permissions system  firewall friendly file transfers  in-game overlay for DirectX & OpenGL games  global public server list  plugin system,3.3
TeamTalk,Linux  Windows  macOS  Android  iOS  Raspbian,[null],[null],[null],Opus  Speex  WebM,[null],1000,Video  file sharing  desktop sharing  stream media files (MP3  AVI),5.3.3;
TeamViewer,Linux  Windows  macOS  iOS  Android<ref></ref>,[null],(personal use only),[null],[null],[null],[null],[null],[null]
Telephone,macOS 10.10.2,[null],[null],SIP  STUN  ICE,[null],[null],[null],Address Book integration,1.1.4;
