RFC,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,MongooseIM,Openfire,Prosody,Sun Java System Instant Messaging Server,Tigase
RFC 3920,XMPP Core,[null],<ref name="ejabberd-features"></ref>,[null],<ref name="jabberd14-features"></ref>,<ref name="jabberd2-featers"></ref>,[null],<ref name="Features and supported standards"></ref>,<ref name="openfire-features"></ref>,[null],[null],<ref name="tigase-features"></ref>
RFC 3921,XMPP IM,[null],<ref name="ejabberd-features" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-featers" />,[null],<ref name="Features and supported standards" />,<ref name="openfire-features" />,[null],[null],<ref name="tigase-features" />
RFC 3922,XMPP CPIM,<ref name="xsf-rfc"></ref>,[null],[null],[null],[null],[null],<ref name="Features and supported standards" />,[null],[null],[null],[null]
RFC 3923,XMPP E2E,<ref name="xsf-rfc"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RFC 4854,XMPP URN,<ref name="xsf-rfc"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RFC 4979,XMPP ENUM,<ref name="xsf-rfc"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RFC 5122,XMPP URI,<ref name="xsf-rfc"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RFC 6120,XMPP Core,<ref name="xsf-rfc"/>,<ref name="ejabberd-protocols"/>,[null],[null],[null],[null],<ref name="Features and supported standards" />,/Partial <ref name="OF-630"></ref>,[null],[null],<ref name="tigase-features" />
RFC 6121,XMPP IM,<ref name="xsf-rfc"/>,<ref name="ejabberd-protocols"/>,[null],[null],[null],[null],<ref name="Features and supported standards" />,/Partial <ref name="OF-628"></ref>,[null],[null],<ref name="tigase-features"/>
RFC 6122,XMPP AF,[null],<ref name="ejabberd-protocols"/>,[null],[null],[null],[null],<ref name="Features and supported standards" />,<ref name="Openfire-Protocol-Support"></ref>,[null],[null],<ref name="tigase-features" />
RFC 7395,XMPP WebSockets,Proposed,<ref name="docs-ejabberd-xmpp"></ref>,<ref name="apple-developers-help-messaging"></ref>,[null],[null],<ref name="redacted  github-repository"></ref>,<ref name="Features and supported standards" />,/Plugin<ref name="openfire-blog-websockets"></ref>,<ref name="Prosody-modules"></ref>,[null],<ref name="tigase-features" />
RFC 7622,XMPP AF,<ref name="xsf-rfc"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
