+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend lift ticket window price (USD),Date statistics updated
Ski Santa Fe https://skisantafe.com/,Santa Fe,New Mexico,12.075,10.350,1.725,660,83,7,225,$84,September 9  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Big Sky Resort,Bozeman,Montana,11.166,6.800,4.350,5.800,317,36,400,$170,website=bigskyresort.com|language=en|access-date=2019-12-11}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10.900,9.900,1.000,600,9,2,[null],$45,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Jackson Hole Mountain Resort,Teton Village,Wyoming,10.450,6.311,4.139,2.500,133,15,459,$140,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Loveland Ski Area,Georgetown,Colorado,13.010,10.800,2.210,1.800,94,11,422,$89,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Revelstoke Mountain Resort,Revelstoke,British Columbia,7.300,1.680,5.620,3.121,75,5,413,$119,March 16  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Mount Ashland Ski Area,Ashland,Oregon,7.533,6.383,1.150,220,23,5,265,$52,September 29  2019<ref></ref>,[added]
Keystone Resort,Keystone,Colorado,12.408,9.280,3.128,3.148,131,20,235,$169,December 11  2019<ref></ref>,[added]
Breckenridge Ski Resort,Breckenridge,Colorado,12.998,9.600,3.398,2.908,187,34,353,$189,December 11  2019<ref></ref>,[added]
Squaw Valley-Alpine Meadows,Truckee,California,9.050,6.200,2.850,6.400,277,43,450,$169,December 11  2019<ref></ref>,[added]
Mammoth Mountain,Mammoth Lakes,California,11.053,7.953,3.100,3.500,150,28,420,$179,website=mammothmountain.com|access-date=2019-12-11}}</ref>,[added]
Heavenly Mountain Resort http://www.skiheavenly.com/,South Lake Tahoe,California,10.067,7.200,3.500,4.800,94,30,360,$164,December 11  2019<ref></ref>,[added]
Mount Shasta Ski Park,Mount Shasta,California,9.200,7.800,1.435,425,32,4,275,$69,December 11  2019<ref></ref>,[added]
Boreal,Soda Springs,California,7.700,7.200,500,380,41,8,400,$74,December 11  2019<ref></ref>,[added]
Donner Ski Ranch,Norden,California,7.781,7.031,750,435,52,8,400,$79,December 11  2019<ref></ref>,[added]
Homewood,Homewood,California,7.881,6.223,1.658,1.260,60,7,400,$139,website=Homewood Mountain|language=en-US|access-date=2019-12-11}}</ref>,[added]
Kirkwood,Kirkwood,California,9.800,7.800,2.000,2.300,86,15,500,$119,October 29  2019,[added]
Northstar California,Truckee,California,8.610,6.330,2.280,2.904,93,19,350,$169,December 11  2019<ref></ref>,[added]
Sierra-at-Tahoe,Twin Bridges,California,8.852,6.640,2.212,2.000,46,12,480,$110,December 11  2019<ref></ref>,[added]
Sugar Bowl,Norden,California,8.383,6.883,1.500,1.500,94,13,500,$121,website=sugarbowl.com|language=en|access-date=2019-12-11}}</ref>,[added]
Soda Springs,Soda Springs,California,7.325,6.673,652,200,15,2,400,$50,December 11  2019<ref></ref>,[added]
Tahoe Donner,Truckee,California,7.350,6.750,600,120,10,3,400,$94,December 11  2019<ref></ref>,[added]
Badger Pass,Yosemite National Park,California,8.000,7.200,800,90,10,5,300,$59,website=Discover Yosemite National Park|language=en-US|access-date=2019-12-11}}</ref>,[added]
Bear Valley,Angels Camp,California,8.500,6.600,1.900,1.280,67,10,359,$105,December 11  2019<ref></ref>,[added]
Dodge Ridge,Sonora,California,8.200,6.600,1.600,832,62,12,300,$79,December 11  2019<ref></ref>,[added]
June Mountain,June Lake,California,10.090,7.545,2.590,500,35,7,250,$119,website=junemountain.com|access-date=2019-12-11}}</ref>,[added]
China Peak,Lakeshore,California,8.709,7.030,1.673,1.200,45,11,300,$99,website=skichinapeak.com|access-date=2019-12-11}}</ref>,[added]
Alta Sierra,Wofford Heights,California,7.091,6.491,600,[null],6,2,80<ref>http://www.bakersfieldlife.com/people-community/x429884552/Alta-Sierra-Ski-Resort-and-Terrain-Park</ref>,$65,December 11  2019<ref></ref>,[added]
Buckhorn Ski and Snowboard Club,Three Points,California,7.903,7.203,680,40,5,2,180,Private Club,April 20  2012,[added]
Bear Mountain,Big Bear Lake,California,8.805,7.104,1.665,198,24,12,100,$115,website=bigbearmountainresort.com|access-date=2019-12-11}}</ref>,[added]
Mount Baldy Ski Lifts,Mount Baldy,California,8.600,6.500,2.100,800,26,4,170,$99,December 11  2019<ref></ref>,[added]
Mount Waterman,Three Points,California,8.030,7.000,1.030,150,27,3,180,$60,December 11  2019<ref></ref>,[added]
Mountain High,Wrightwood,California,8.200,6.600,1.600,290,59,13,132<ref></ref>,$79,December 11  2019<ref></ref>,[added]
Snow Summit,Big Bear Lake,California,8.174,6.965,1.209,240,30,14,100,$115,December 11  2019<ref name="bigbearmountainresort.com"/>,[added]
Snow Valley Mountain Resort,Running Springs,California,7.841,6.800,1.041,240,29,12,150,$72,December 11  2019<ref></ref>,[added]
Wolf Creek Ski Area,Pagosa Springs,Colorado,11.904,10.300,1.604,1.600,77,7,465,$76,December 11  2019<ref></ref>,[added]
Kicking Horse Resort,Golden,British Columbia,8.218,3.900,4.314,3.486,120,3,295,$73,March 16  2019<ref></ref>,[added]
Eldora Mountain Resort http://www.eldora.com/,Nederland,Colorado,10.800,9.200,1.600,680,53,12,300,$129,December 11  2019<ref></ref>,[added]
Alyeska Resort http://www.alyeskaresort.com/,Girdwood,Alaska,3.939,250,2.500,1.400,73,9,643,$89,November 7  2019,[added]
Marmot Basin http://www.skimarmot.com/,Jasper,Alberta,8.570,5.570,3.000,1.675,86,8,160,$105,September 19  2019,[added]
Lake Louise Mountain Resort http://www.skilouise.com/,Lake Louise,Alberta,8.650,5.400,3.250,4.200,139,9,180<ref>Lake Louise Mountain Resort</ref>,$84.95<ref></ref>,February 14  2014,[added]
Big White Ski Resort http://www.bigwhite.com/,Kelowna,British Columbia,7.606,4.950,2.656,2.800,118,16,294,$76,November 19  2010,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Silver Star Mountain Resort http://www.skisilverstar.com/,Vernon,British Columbia,6.282,3.789,2.500,3.269,128,12,275,$81,April  2015<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Whistler Blackcomb http://www.whistlerblackcomb.com/,Whistler,British Columbia,7.494,2.140,5.280,8.171,200,37,404,$93,December 23  2017,[added]
Steamboat Springs http://www.steamboat.com/,Steamboat Springs,Colorado,10.568,6.900,3.668,2.956,165,16,349,$155,website=steamboat.com|access-date=2019-12-11}}</ref>,[added]
Copper Mountain (Colorado) http://www.coppercolorado.com/,Frisco,Colorado,12.313,9.712,2.601,2.450,126,22,282,$190,December 11  2019<ref></ref>,[added]
Vail Ski Resort,Vail,Colorado,11.570,8.120,3.450,5.289,195,31,354,$209,December 11  2019<ref></ref>,[added]
Beaver Creek,Avon,Colorado,11.440,8.100,3.340,1.832,150,24,195,$209,December 11  2019<ref></ref>,[added]
Winter Park Resort,Winter Park,Colorado,12.060,9.000,3.060,3.000,143,25,365,$109,December 8  2019,[added]
Saddleback Maine,Farmington,Maine,4.120,2.120,2.000,485,66,5,200,Temporarily Closed,December 11  2019<ref></ref>,[added]
Boyne Mountain,Boyne City,Michigan,1.120,620,500,41,60,10,140,$102,December 11  2019<ref></ref>,[added]
Mountain Creek,Vernon Township,New Jersey,1.480,440,1.040,200,41,8,65,$80,December 11  2019<ref></ref>,[added]
Blue Mountain,Collingwood,Ontario,1.483,741,742,250,34,15,109,$67,[null],[added]
Mt Bachelor https://web.archive.org/web/20100331205610/http://www.mtbachelor.com/winter/index.html,Bend,Oregon,9.065,5.700,3.365,4.318,101,11,462,$99,September 29  2019<ref></ref>,[added]
Mount Hood Meadows http://www.skihood.com/,Portland,Oregon,7.300,4.523,2.777,2.150,85,11,430,$79,website=skihood.com|access-date=2019-12-11}}</ref>,[added]
Mont-Sainte-Anne,Beaupré,Quebec,2.625,575,2.050,450,65,13,187,$65,[null],[added]
Mont Tremblant Resort,Mont Tremblant,Quebec,2.870,750,2.120,627,95,14,156,$70.35,[null],[added]
Le Massif,Petite-Rivière-Saint-François,Quebec,2.645,118,2.527,410,48,4,248,$61,[null],[added]
Brian Head,Brian Head,Utah,11.307,9.600,1.548,650,14,8,370,$45,December 11  2019<ref name="brianhead.com"></ref>,[added]
Park City Mountain Resort<ref></ref>,Park City,Utah,10.000,6.900,3.100,7.300,348,41,360,$179,December 11  2019,[added]
Deer Valley,Park City,Utah,9.570,6.570,3.000,2.026,100,21,280,$209,December 11  2019<ref name="brianhead.com"/>,[added]
Brighton Ski Resort http://www.brightonresort.com,Salt Lake City,Utah,10.500,8.755,1.745,1.500,66,6,500,$99,December 11  2019<ref></ref>,[added]
