+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend lift ticket window price (USD),Date statistics updated
Sunrise Park,Greer,Arizona,11.100,9.200,1.900,800,65,9,250,$78,September 28  2019<ref></ref>,[added]
Sandia Peak,Albuquerque,New Mexico,10.378,8.678,1.700,200,39,5,100,$55,September 28  2019<ref></ref>,[added]
Ski Apache,Ruidoso,New Mexico,11.500,9.600,1.900,750,55,8,185,$74,September 28  2019<ref></ref>,[added]
Sipapu,Taos,New Mexico,9.225,8.200,1.055,200,41,6,190,$45,September 28  2019<ref></ref>,[added]
Red River,Red River,New Mexico,10.350,8.750,1.600,209,64,7,214,$82,September 28  2019<ref></ref>,[added]
Kelly Canyon,Idaho Falls,Idaho,6.600,5.600,1.000,640,26,5,200,$42,September 28  2019<ref></ref>,[added]
Pebble Creek,Pocatello,Idaho,8.560,6.360,2.200,1.100,54,3,250,$52,September 28  2019<ref></ref>,[added]
Magic Mountain,Twin Falls,Idaho,7.240,6.540,700,120,11,4,230,$33,access-date=2019-09-28}}</ref>,[added]
Blizzard Mountain,Arco,Idaho,6.305,5.595,710,[null],[null],1,[null],[null],September 28  2019,[added]
Rotarun,Hailey,Idaho,5.895,5.420,475,[null],12,1,[null],$20,September 28  2019<ref></ref>,[added]
Chipmunk Hill,Challis,Idaho,[null],[null],[null],30,1,1,[null],$5,September 28  2019,[added]
Snowhaven,Grangeville,Idaho,5.600,5.200,400,40,9,2,60,$19,September 28  2019<ref></ref>,[added]
Tamarack,Boise,Idaho,7.660,4.900,2.760,1.100,45,6,300,$71,September 28  2019<ref></ref>,[added]
Cottonwood Butte,Cottonwood,Idaho,5.730,4.885,845,260,7,2,45,$20,September 28  2019<ref></ref>,[added]
Bald Mountain,Pierce,Idaho,4.800,4.000,800,140,16,2,100,$20,September 28  2019<ref></ref>,[added]
Silver Mountain,Coeur d'Alene,Idaho,6.297,4.100,2.197,1.600,67,8,300,$58,September 28  2019<ref></ref>,[added]
Mohawk Mountain,Cornwall,Connecticut,1.600,960,640,107,25,8,24,$67,September 28  2019<ref></ref>,[added]
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,$49,September 28  2019<ref></ref>,[added]
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16,5,45,$62,September 28  2019<ref></ref>,[added]
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,$62,September 28  2019<ref></ref>,[added]
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,$50,September 28  2019<ref></ref>,[added]
Frost Fire,Walhalla,North Dakota,1.400,1.070,330,[null],10,3,[null],$23,September 28  2019<ref></ref>,[added]
Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,$49,September 28  2019<ref></ref>,[added]
Snow Creek,Weston,Missouri,1.099,799,300,25,12,5,20,$47,September 28  2019<ref></ref>,[added]
Ober Gatlinburg,Gatlinburg,Tennessee,3.300,2.700,600,38,10,4,9,$65,September 28  2019<ref></ref>,[added]
Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,$45,September 28  2019<ref></ref>,[added]
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,$52,September 28  2019<ref></ref>,[added]
Alpine Valley,Chesterland,Ohio,1.500,1.260,240,72,11,5,120,$44,September 28  2019<ref></ref>,[added]
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,$44,September 28  2019<ref></ref>,[added]
Mad River,Bellafontaine,Ohio,1.460,1.160,300,144,23,12,36,$49,September 28  2019<ref></ref>,[added]
Snow Trails,Mansfield,Ohio,1.475,1.175,300,80,17,7,52,$52,September 28  2019<ref></ref>,[added]
Big Creek,Concord,Ohio,1.466,1.292,174,23,5,2,102,Private Club,September 28  2019,[added]
Wisp Ski Resort,McHenry,Maryland,3.115,2.145,700,132,34,12,100,$49,website=wispresort.com|access-date=2019-09-28}}</ref>,[added]
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,$41,September 28  2019<ref></ref>,[added]
Mountain Creek,Vernon,New Jersey,1.490,450,1.040,167,46,9,65,$80,September 28  2019<ref></ref>,[added]
Big Rock,Presque Isle,Maine,1.590,670,920,60,27,3,100,$40,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Big Squaw Mountain,Greenville,Maine,2.920,1.300,1.620,1.216,33,1,136,$30,September 29  2019<ref></ref>,[added]
Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,$25,September 29  2019<ref></ref>,[added]
New Hermon Mountain,Bangor,Maine,450,150,300,70,20,3,90,$35,September 29  2019<ref></ref>,[added]
Camden Snow Bowl,Camden,Maine,1.080,235,845,100,17,3,50,$33,access-date=2019-09-29}}</ref>,[added]
Powderhouse Hill,Portland,Maine,240,120,120,[null],3,1,[null],$5,September 29  2019<ref></ref>,[added]
Lost Valley,Lewiston,Maine,480,240,240,45,27,4,99,$60,September 29  2019,[added]
Shawnee Peak,Bridgton,Maine,[null],[null],1.300,245,44,6,110,$75,September 29  2019<ref></ref>,[added]
Sunday River,Newry,Maine,3.140,800,2.340,870,153,18,155,$109,website=sundayriver.com|access-date=2019-09-29}}</ref>,[added]
Ski Mount Abraham,Bethel,Maine,1.990,940,1.050,650,44,5,115,$49,September 29  2019<ref></ref>,[added]
Black Mountain of Maine,Lewiston,Maine,2.380,1.000,1.380,300,46,2,120,$45,September 29  2019<ref></ref>,[added]
Titcomb Mountain,Augusta,Maine,750,400,350,45,16,3,85,$17,September 29  2019<ref></ref>,[added]
Spruce Mountain Ski Slope,Jay,Maine,310,10,300,[null],12,3,[null],$25,September 29  2019<ref></ref>,[added]
Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,$15,September 29  2019<ref></ref>,[added]
Baker Mountain,Bingham,Maine,[null],[null],460,[null],5,1,[null],$10,September 29  2019,[added]
Blandford Ski Area,Blandford,Massachusetts,1.490,1.025,465,55,29,5,70,$45,September 29  2019<ref></ref>,[added]
Berkshire East,Greenfield,Massachusetts,1.720,540,1.180,180,45,6,120,$69,website=Berkshire East Mountain Resort|access-date=2019-09-29}}</ref>,[added]
Ski Butternut,Great Barrington,Massachusetts,1.764,645,1.119,110,22,10,115,$65,website=skibutternut.com|access-date=2019-09-29}}</ref>,[added]
Jiminy Peak,Pittsfield,Massachusetts,2.375,1.125,1.140,170,45,8,110,$84,September 29  2019<ref></ref>,[added]
Wachusett Mountain,Worcester,Massachusetts,2.006,1.006,1.000,110,22,7,100,$73,website=wachusett.com|access-date=2019-09-29}}</ref>,[added]
Nashoba Valley,Boston,Massachusetts,422,182,240,59,17,9,55,$60,September 29  2019<ref></ref>,[added]
Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8,4,[null],$45,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Otis Ridge Ski Camp,Otis,Massachusetts,1.700,1.300,400,55,11,5,70,$40,September 29  2019<ref></ref>,[added]
Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15,10,[null],$58,access-date=2019-09-29}}</ref>,[added]
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,$55,September 29  2019<ref></ref>,[added]
Bosquet Ski Area,Pittsfield,Massachusetts,1.818,1.068,750,200,23,5,83,$47,September 29  2019<ref></ref>,[added]
Chestnut Mountain,Galena,Illinois,1.020,600,420,220,19,9,34,$60,September 29  2019<ref></ref>,[added]
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14,6,38,$41,September 29  2019<ref></ref>,[added]
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7,6,24,$28,website=fourlakessnowsports|access-date=2019-09-29}}</ref>,[added]
Villa Olivia,Bartlett,Illinois,500,320,180,15,7,7,25,$40,September 29  2019<ref></ref>,[added]
Mount Crescent,Omaha,Iowa,1.500,1.200,300,50,11,2,30,$39,website=Mt. Crescent Ski Area|access-date=2019-09-29}}</ref>,[added]
Seven Oaks,Boone,Iowa,975,800,175,35,11,4,40,$40,September 29  2019<ref></ref>,[added]
Sleepy Hollows Sports Park,Des Moines,Iowa,938,800,138,80,8,2,[null],$25,September 29  2019<ref></ref>,[added]
Sundown Mountain,Dubuque,Iowa,1.059,584,475,55,21,6,45,$46,September 29  2019<ref></ref>,[added]
Bryce Resort,Basye,Virginia,1.750,1.250,500,25,8,7,30,$67,September 29  2019<ref></ref>,[added]
Massanutten Resort,Harrisonburg,Virginia,2.925,1.750,1.110,70,13,7,35,$79,September 29  2019<ref></ref>,[added]
Homestead Resort,Hot Springs,Virginia,3.200,2.500,700,45,10,2,50,$35,September 29  2019,[added]
Canaan Valley Resort,Dryfork,West Virginia,4.280,3.430,850,91,39,4,150,$68,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Winterplace,Ghent,West Virginia,3.600,2.997,603,90,28,9,100,$72,September 29  2019<ref></ref>,[added]
Oglebay Resort,Wheeling,West Virginia,[null],[null],168,[null],1,1,[null],$28,September 29  2019<ref></ref>,[added]
Cloudmont Resort,Mentone,Alabama,1.800,1.650,150,9,2,2,0,$40,September 29  2019<ref></ref>,[added]
Anthony Lakes,North Powder,Oregon,8.000,7.100,900,1.100,21,3,300,$40,September 29  2019<ref></ref>,[added]
Copper Spur,Hood River,Oregon,4.350,4.000,350,50,10,4,100,$39,September 29  2019<ref></ref>,[added]
Ferguson Ridge,Joseph,Oregon,5.840,5.200,640,170,8,2,300,$20,September 29  2019<ref></ref>,[added]
Hoodoo,Sisters,Oregon,5.703,4.668,1.035,806,32,5,360,$56,September 29  2019<ref></ref>,[added]
Mount Hood Skibowl,Government Camp,Oregon,5.027,3.500,1.527,960,65,9,300,$55,September 29  2019<ref></ref>,[added]
Spout Springs,Tollgate,Oregon,5.450,4.920,530,200,17,2,130,Closed Temporarily,September 29  2019,[added]
Summit Ski Area,Government Camp,Oregon,4.306,4.000,306,70,3,2,150,$38,September 29  2019<ref></ref>,[added]
Timberline Lodge,Government Camp,Oregon,8.540,4.850,3.620,1.430,35,9,540,$75,website=timberlinelodge.com|access-date=2019-09-29}}</ref>,[added]
Warner Canyon,Lakeview,Oregon,6.003,5.271,732,200,21,1,50,$35,access-date=2019-09-29}}</ref>,[added]
Willamette Pass,Oakridge,Oregon,6.683,5.120,1.563,555,29,6,430,$60,September 29  2019<ref></ref>,[added]
Crested Butte,Crested Butte,Colorado,12.170,9.115,3.055,1.547,121,16,300,$113,September 30  2019<ref></ref>,[added]
Echo Mountain,Evergreen,Colorado,10.650,10.050,600,226,13,2,275,$55,September 30  2019<ref></ref>,[added]
Granby Ranch,Granby,Colorado,9.202,8.202,1000,406,40,5,220,$84,September 30  2019<ref></ref>,[added]
Hesperus,Durango,Colorado,8.888,8.200,688,60,26,1,150,$39,September 30  2019<ref></ref>,[added]
Howelson Hill,Steamboat Springs,Colorado,7.136,6.696,440,50,17,4,150,$30,website=steamboatsprings.net|access-date=2019-09-30}}</ref>,[added]
Kendall Mountain,Silverton,Colorado,9.540,9.300,240,16,11,1,200,$20,website=coloradodirectory.com|access-date=2019-09-30}}</ref>,[added]
Monarch,Salida,Colorado,11.960,10.790,1.170,800,63,5,400,$94,September 30  2019<ref></ref>,[added]
Powderhorn Resort,Grand Junction,Colorado,9.850,8.200,1.650,1.600,63,5,250,$71,September 30  2019<ref></ref>,[added]
Purgatory Resort,Durango,Colorado,10.822,8.793,2.029,1.200,85,10,260,$99,September 30  2019<ref></ref>,[added]
Silverton Mountain,Silverton,Colorado,13.487,10.400,3.087,1.819,48,1,450,$79,September 30  2019<ref></ref>,[added]
Sunlight Mountain,Glenwood Springs,Colorado,9.895,7.885,2.010,470,67,3,250,$55,September 30  2019<ref></ref>,[added]
Cranor Hill,Gunnison,Colorado,8.500,8.100,400,45,4,1,75,$17,September 30  2019<ref></ref>,[added]
Lake City,Lake City,Colorado,8.850,8.600,250,14,7,1,[null],$20,September 30  2019<ref></ref>,[added]
Beaver Mountain,Logan,Utah,8.800,7.200,1.600,667,47,5,400,$50,September 30  2019<ref></ref>,[added]
Cherry Peak,Richmond,Utah,7.050,5.775,1.265,200,29,3,322,$40,September 30  2019<ref></ref>,[added]
Eagle Point,Beaver,Utah,10.600,9.100,1.500,650,40,5,400,$65,website=eaglepointresort.com|access-date=2019-09-30}}</ref>,[added]
Nordic Valley,Ogden,Utah,6.400,5.440,960,140,23,4,300,$45,September 30  2019<ref></ref>,[added]
Snowbasin,Huntsville,Utah,9.350,6.391,2.959,3.000,104,11,350,$99,website=snowbasin.com|access-date=2019-09-30}}</ref>,[added]
Solitude Mountain,Salt Lake City,Utah,10.488,7.988,2.500,1.200,80,8,500,$115,September 30  2019<ref></ref>,[added]
Sundance Mountain,Provo,Utah,8.250,6.100,2.150,450,44,5,320,$90,website=Sundance Mountain Resort|access-date=2019-09-30}}</ref>,[added]
Afton Alps,Afton,Minnesota,700,350,350,300,50,22,60,$28,October 1  2019<ref></ref>,[added]
Andes Tower Hills,Kensington,Minnesota,1.620,1.330,290,35,15,6,55,$45,October 1  2019<ref></ref>,[added]
Buck Hill,Burnsville,Minnesota,1.211,949,262,45,16,9,60,$47,October 1  2019<ref></ref>,[added]
Buena Vista Ski Area,Bemidji,Minnesota,1.510,1280,230,30,16,5,78,$44,October 1  2019<ref></ref>,[added]
Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5,1,100,$15,website=chesterbowl.org|access-date=2019-10-01}}</ref>,[added]
Coffee Mill Ski Area,Wabasha,Minnesota,1.150,725,425,40,14,3,48,$37,October 1  2019,[added]
Detroit Mountain,Detroit Lakes,Minnesota,1.607,1.443,210,45,21,8,[null],$42,October 1  2019<ref></ref>,[added]
Giants Ridge,Biwabik,Minnesota,1.972,1.472,500,202,35,7,85,$34,website=giantsridge.com|access-date=2019-10-01}}</ref>,[added]
Hyland Hills,Bloomington,Minnesota,1.075,900,175,35,13,6,60,$35.34,website=threeriversparks.org|access-date=2019-10-01}}</ref>,[added]
Lutsen Mountains,Lutsen,Minnesota,1.688,825,863,1.000,95,9,115,$86,website=lutsen.com|access-date=2019-10-01}}</ref>,[added]
Mount Itasca,Grand Rapids,Minnesota,[null],[null],[null],[null],[null],[null],[null],$20,October 1  2019<ref></ref>,[added]
Mount Kato,Mankato,Minnesota,840,600,240,55,19,11,50,$49,October 1  2019<ref></ref>,[added]
Powder Ridge,Kimball,Minnesota,850,540,310,60,15,6,45,$50,access-date=2019-10-01}}</ref>,[added]
Mount Ski Gull,Nisswa,Minnesota,1.515,1.285,230,40,10,5,50,$39.99,October 1  2019<ref></ref>,[added]
Spirit Mountain,Duluth,Minnesota,1.298,620,678,175,22,8,90,$59,website=spiritmt.com|access-date=2019-10-01}}</ref>,[added]
Welch Village,Red Wing,Minnesota,1.060,700,360,140,60,11,45,$62,October 1  2019<ref></ref>,[added]
Wild Mountain,Taylors Falls,Minnesota,1.113,813,300,100,26,9,50,$56,website=wildmountain.com|access-date=2019-10-01}}</ref>,[added]
Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7,2,[null],$25,website=wolfeboronh.us|access-date=2019-12-08}}</ref>,[added]
Arrowhead Recreation Area,Claremont,New Hampshire,[null],[null],120,225,9,2,[null],$9,website=arrowheadnh.com|access-date=2019-12-08}}</ref>,[added]
Attitash Mountain Resort,North Conway,New Hampshire,2.350,600,1.750,311`,68,9,120,$56,December 8  2019<ref></ref>,[added]
Black Mountain Ski Area,Jackson,New Hampshire,2.350,1.250,1.100,143,40,5,125,$62,website=Black Mountain|language=en|access-date=2019-12-08}}</ref>,[added]
Bretton Woods,Bretton Woods,New Hampshire,3.100,1.600,1.500,464,62,10,200,$96,December 8  2019<ref></ref>,[added]
Cannon Mountain Ski Area,Franconia,New Hampshire,4.180,1.850,2.330,265,73,10,160,$82,December 8  2019<ref></ref>,[added]
Campton Mountain,Campton,New Hampshire,1.505,1.192,313,[null],[null],2,[null],$20,website=camptonmountain.com|access-date=2019-12-08}}</ref>,[added]
Cranmore Mountain Resort,North Conway,New Hampshire,2.000,600,1.200,200,54,10,150,$89,website=cranmore.com|access-date=2019-12-08}}</ref>,[added]
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1.016,75,23,5,105,$71,December 8  2019<ref></ref>,[added]
Dartmouth Skiway,Lyme,New Hampshire,1.943,975,968,104,30,4,100,$53,December 8  2019<ref></ref>,[added]
Veterans Memorial Recreation Area,Franklin,New Hampshire,[null],[null],220,[null],10,2,[null],Free,December 8  2019<ref></ref>,[added]
Granite Gorge,Keene,New Hampshire,1.325,935,390,150,19,3,[null],$49,December 8  2019<ref></ref>,[added]
Gunstock Mountain Resort,Laconia,New Hampshire,2.267,867,1.400,227,55,6,120,$84,December 8  2019<ref></ref>,[added]
Kanc Recreation Area,Lincoln,New Hampshire,1.080,859,221,7,2,1,[null],$5,December 8  2019<ref></ref>,[added]
King Pine Ski Area,Madison,New Hampshire,850,500,350,48,17,6,120,$59,December 8  2019,[added]
Loon Mountain Resort,Lincoln,New Hampshire,3.050,950,2.100,370,61,12,163,$104,December 8  2019<ref></ref>,[added]
McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10,5,[null],$42,December 8  2019<ref></ref>,[added]
Mt. Eustis Ski Hill,Littleton,New Hampshire,1.373,1.133,240,[null],[null],1,[null],$5,December 8  2019<ref></ref>,[added]
Mount Prospect Ski Tow,Lancaster,New Hampshire,1.700,1.400,300,[null],[null],1,[null],$7,December 8  2019<ref></ref>,[added]
Mount Sunapee Resort,Claremont,New Hampshire,2.743,1.230,1.513,230,66,11,100,$79,website=mountsunapee.com|language=en|access-date=2019-12-08}}</ref>,[added]
Pats Peak Ski Area,Henniker,New Hampshire,1.460,690,770,103,28,11,100,$75,website=patspeak.com|access-date=2019-12-08}}</ref>,[added]
Ragged Mountain Resort,Danbury,New Hampshire,2250,1000,1.250,250,57,6,100,$87,December 8  2019<ref></ref>,[added]
Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,[null],9,1,[null],$25/season,December 8  2019<ref></ref>,[added]
Storrs Hill Ski Area,Lebanon,New Hampshire,580,280,300,20,3,1,[null],$15,website=liftopia.com|access-date=2019-12-08}}</ref>,[added]
Tenney Mountain Resort,Plymouth,New Hampshire,2.149,749,1.400,110,45,3,140,$59,website=skitenney|language=en|access-date=2019-12-08}}</ref>,[added]
Waterville Valley Resort,Waterville Valley,New Hampshire,3.840,1.820,2.020,220,50,11,150,$69,December 8  2019<ref></ref>,[added]
Whaleback Mountain,Enfield,New Hampshire,1.800,1.100,700,85,30,4,110,$45,December 8  2019<ref></ref>,[added]
Wildcat Mountain,Jackson,New Hampshire,4.062,1.950,2.112,225,48,5,207,$120,December 8  2019<ref></ref>,[added]
Bear Creek Mountain Resort,Allentown,Pennsylvania,1.100,590,510,86,21,7,30,$60,December 9  2019<ref></ref>,[added]
Blue Knob All Seasons Resort,Claysburg,Pennsylvania,3.146,2.074,1.072,100,34,6,120,$70,December 9  2019<ref></ref>,[added]
Blue Mountain Ski Area,Palmerton,Pennsylvania,1.540,458,1.082,164,39,13,33,$70,December 9  2019<ref></ref>,[added]
Boyce Park Four Seasons Lodge,Plum,Pennsylvania,1.245,1.115,130,25,9,5,[null],$28,website=alleghenycounty.us|access-date=2019-12-09}}</ref>,[added]
Camelback Mountain Resort,Scranton,Pennsylvania,2.130,1.330,800,166,35,16,50,$78,website=skicamelback.com|access-date=2019-12-09}}</ref>,[added]
Elk Mountain Ski Resort,Scranton,Pennsylvania,2.667,1.742,925,180,27,7,60,$69,December 9  2019<ref></ref>,[added]
Hidden Valley Resort,Hidden Valley,Pennsylvania,2.875,2.405,470,110,26,11,140,$61,language=en-US|access-date=2019-12-09}}</ref>,[added]
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2.000,1.400,600,145,35,22,50,$68,December 9  2019<ref></ref>,[added]
Laurel Mountain Ski Resort,Ligonier,Pennsylvania,2.800,2.000,800,70,20,2,[null],$58,language=en|access-date=2019-12-09}}</ref>,[added]
Liberty Mountain Resort,Gettysburg,Pennsylvania,1.190,570,620,100,22,9,31,$105,December 9  2019<ref></ref>,[added]
Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1.550,1.200,350,35,10,2,150,$33,December 9  2019<ref></ref>,[added]
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2.994,2.240,750,285,40,14,150,$76,language=en-US|access-date=2019-12-09}}</ref>,[added]
Shawnee Mountain Ski Area,East Stroudsburg,Pennsylvania,1.351,700,651,125,23,9,50,$68,website=shawneemt.com|access-date=2019-12-09}}</ref>,[added]
Ski Big Bear,Lackawaxen,Pennsylvania,1.250,600,650,26,18,7,69,$64,December 9  2019<ref></ref>,[added]
Denton Hill State Park,Ulysses,Pennsylvania,2.460,1.800,660,[null],[null],5,[null],Closed Temporarily,last=September 14|first=endeavornews {{!}} on|last2=2019|website=endeavornews.com|access-date=2019-12-09}}</ref>,[added]
Roundtop Mountain Resort,Lewisberry,Pennsylvania,1.335,755,600,103,20,7,30,$73,website=skiroundtop.com|access-date=2019-12-09}}</ref>,[added]
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9,6,20,$48,December 9  2019<ref></ref>,[added]
Ski Sawmill Resort,Morris,Pennsylvania,2.215,1.700,515,15,14,5,24,$48,language=en-US|access-date=2019-12-09}}</ref>,[added]
Montage Mountain Resorts,Scranton,Pennsylvania,1.960,960,1000,140,26,9,60,$58,website=PA Ski Resort {{!}} Skiing Snowboarding {{!}} Pennsylvania|language=en-US|access-date=2019-12-09}}</ref>,[added]
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1.750,1.230,520,38,7,3,41,$62,December 9  2019<ref></ref>,[added]
Whitetail Resort,Clear Spring,Pennsylvania,1.800,865,935,109,25,9,40,$64,December 9  2019<ref></ref>,[added]
Alpine Valley Resort,Elkhorn,Wisconsin,1.040,820,220,90,20,12,80,$53,December 9  2019<ref></ref>,[added]
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1.375,1.000,375,40,12,5,42,$26,website=skicentral.com|access-date=2019-12-09}}</ref>,[added]
Camp 10 Ski Area,Rhinelander,Wisconsin,1.740,1.510,230,[null],15,4,[null],$38,December 9  2019<ref></ref>,[added]
Cascade Mountain,Portage,Wisconsin,1.270,820,450,175,47,11,56,$66,December 9  2019<ref></ref>,[added]
Christie Mountain,Bruce,Wisconsin,1.650,1.300,350,45,30,5,48,$40,December 9  2019<ref></ref>,[added]
Christmas Mountain,Wisconsin Dells,Wisconsin,1.250,1.000,250,40,16,3,20,$45,website=directory.bluegreenvacations.com|access-date=2019-12-09}}</ref>,[added]
The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10,5,[null],$36,December 9  2019<ref></ref>,[added]
Devil's Head Resort,Baraboo,Wisconsin,1.420,930,490,268,28,10,55,$66,last=devilshead|website=Devils Head Resort|language=en-US|access-date=2019-12-09}}</ref>,[added]
Granite Peak Ski Area,Wausau,Wisconsin,1.950,1.250,700,220,75,7,75,$49,December 9  2019<ref></ref>,[added]
Kettlebowl Ski Area,Antigo,Wisconsin,1.780,1.455,325,[null],7,5,[null],$5,December 9  2019<ref></ref>,[added]
Kewaunee Winter Park,Kewaunee,Wisconsin,740,580,160,[null],5,1,[null],$15,last=www.dmistudios.com|website=visitkewauneecounty.com|access-date=2019-12-09}}</ref>,[added]
Keyes Peak Ski Hill,Florence,Wisconsin,1.480,1.250,230,[null],5,2,60,$12,December 9  2019<ref></ref>,[added]
Little Switzerland Ski Area,Slinger,Wisconsin,1.269,1.069,200,50,18,8,45,$43,December 9  2019<ref></ref>,[added]
Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11,2,55,$40,last=mdlresort|website=Mont du Lac Resort|language=en-US|access-date=2019-12-09}}</ref>,[added]
Grand Geneva Resort and Spa,Lake Geneva,Wisconsin,1000,789,211,30,20,5,25,$55,website=grandgeneva.com|language=en|access-date=2019-12-09}}</ref>,[added]
Mount Ashwabay Ski and Recreation Area,Bayfield,Wisconsin,[null],[null],317,65,13,2,[null],$26,website=Mt Ashwabay|language=en|access-date=2019-12-09}}</ref>,[added]
Mount La Cross,La Crosse,Wisconsin,1.010,594,516,100,19,4,40,$58,December 9  2019<ref></ref>,[added]
Navarino Hills,Shiocton,Wisconsin,885,785,100,[null],[null],4,[null],Temporarily Closed,December 9  2019<ref></ref>,[added]
Nordic Mountain,Wild Rose,Wisconsin,1.137,872,265,60,18,7,80,$39,December 9  2019<ref></ref>,[added]
Nutt Hill Ski Area,Plymouth,Wisconsin,[null],[null],100,10,2,1,[null],Temporarily Closed,December 9  2019<ref></ref>,[added]
Powers Bluff County Park and Winter Recreation Area,Arpin,Wisconsin,1.430,1.180,250,[null],3,2,[null],$10,December 9  2019<ref></ref>,[added]
Standing Rocks County Park and Winter Recreation Area,Portage,Wisconsin,[null],[null],125,[null],5,1,[null],$16,website=co.portage.wi.us|access-date=2019-12-09}}</ref>,[added]
Sunburst Winter Sports Park,West Bend,Wisconsin,1.100,866,214,40,12,9,50,$44,December 9  2019<ref></ref>,[added]
Triangle Sports Area,Green Bay,Wisconsin,710,640,70,[null],2,3,[null],$5,website=greenbaywi.gov|access-date=2019-12-09}}</ref>,[added]
Trollhaugen,Dresser,Wisconsin,1.200,920,280,86,24,10,50,$55,website=trollhaugen.com|access-date=2019-12-09}}</ref>,[added]
Tyrol Basin,Mount Horeb,Wisconsin,1.130,870,260,30,16,6,41,$48,December 9  2019<ref></ref>,[added]
Whitecap Mountains Resort,Upson,Wisconsin,1.750,1.295,400,400,43,5,200,$65,December 9  2019<ref></ref>,[added]
Whitetail Ridge Ski Area,Fort McCoy,Wisconsin,1.050,865,185,[null],[null],1,[null],$37,December 9  2019<ref></ref>,[added]
Wilmot Mountain Ski Resort,Wilmot,Wisconsin,960,770,190,120,23,11,48,$65,website=wilmotmountain.com|access-date=2019-12-09}}</ref>,[added]
Alpine Valley,White Lake,Michigan,500,126,374,100,25,14,20,$48,December 9  2019<ref></ref>,[added]
Apple Mountain,Freeland,Michigan,820,600,220,80,12,6,52,Temporarily Closed,December 9  2019<ref></ref>,[added]
Big Powderhorn Mountain Resort,Bessemer,Michigan,1.800,1.200,600,253,45,10,214,$69,December 9  2019<ref></ref>,[added]
Bittersweet Ski Resort,Otsego,Michigan,850,450,400,100,20,12,90,$50,December 9  2019<ref></ref>,[added]
Big Snow Resort (includes Blackjack and Indianhead Mountain),Bessemer,Michigan,1.935,1.297,638,321,56,17,205,$65,website=bigsnow.com|access-date=2019-12-09}}</ref>,[added]
Boyne Highlands Resort,Harbor Springs,Michigan,1.290,745,545,435,55,10,140,$75,December 9  2019<ref></ref>,[added]
Caberfae Peaks,Cadillac,Michigan,1.569,1.060,485,200,34,5,140,$59,language=en-US|access-date=2019-12-09}}</ref>,[added]
Cannonsburg Ski Area,Belmont,Michigan,1.100,850,250,100,21,10,100,$39,December 9  2019<ref></ref>,[added]
Crystal Mountain,Thompsonville,Michigan,1.132,757,375,102,58,8,132,$74,website=crystalmountain.com|language=en|access-date=2019-12-09}}</ref>,[added]
Hickory Hills Ski Area,Traverse City,Michigan,[null],[null],237,125,8,5,[null],$25,December 9  2019<ref></ref>,[added]
The Homestead,Glen Arbor,Michigan,900,580,320,16,15,5,150,$39,website=thehomesteadresort.com|access-date=2019-12-09}}</ref>,[added]
Marquette Mountain Ski Area,Marquette,Michigan,1.257,800,457,169,25,4,117,$54,December 9  2019<ref></ref>,[added]
Mont Ripley Ski Area,Hancock,Michigan,1.140,700,440,112,25,4,275,$52,December 9  2019<ref></ref>,[added]
Mount Bohemia,Mohawk,Michigan,1.500,600,900,585,102,2,273,$74,December 9  2019<ref></ref>,[added]
