BitTorrent library,First public release date,Latest stable,Software license
libtorrent (Rasterbar),<ref></ref>,[null],[null]
MonoTorrent,[null],[null],[null]
rTorrent (libTorrent Rakshasa),<ref name="rakshasa-timeline"></ref>,[null],[null]
[added],[added],[added],[added]
BitTorrent library,First public release date,Latest stable,Software license
