GoDrive,Windows  Mac OS X  Linux  Android  iOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],?,[added]
GoodSync,Windows  OS X  Android  iPad  iPhone  USB flash drive,[null],[null],, beta,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
GS RichCopy 360,Windows,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
IBM Connections,Windows  OS X  Android  iOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
MediaFire,Windows  OS X  Android  iOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
Mega,Windows  OS X  Linux  Android  iPhone  BlackBerry,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[added]
RepliWeb,Windows  Linux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Resilio Sync (ex. BitTorrent Sync),Windows  OS X  Linux  Android  iOS  Windows Phone  Amazon Kindle Fire  FreeBSD,[null],[null],, optional,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Robocopy,Windows,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
SecureSafe,Windows  OS X  Android  iOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
SpiderOak,Windows  OS X  Debian  Fedora  Slackware  Android  iOS,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],<ref></ref>,[added]
ShareFile,Windows  OS X  Android  iPhone,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null],[added]
SugarSync,Windows  OS X  Android  BlackBerry  iPhone  Windows Mobile,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[null],[null],[null],[added]
Syncdocs,Windows  web app,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null],[added]
Synchronize It!,Windows,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Syncplicity,Windows  OS X  Android  iPhone  Windows Mobile,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[added]
Tonido,Windows  OS X  Linux  Android  BlackBerry  iPhone  Windows Phone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Tresorit,Windows  OS X  Linux  Android  BlackBerry  iOS  Windows Phone,[null],[null],[null],[null],[null],, for Windows,[null],[null],[null],[null],[null],[null],[null],[added]
Ubuntu One (discontinued 2 April 2014),Windows  OS X  Ubuntu  iOS  Android<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Wuala (discontinued),Windows  OS X  Debian  Ubuntu  Android  iOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
ZumoDrive (discontinued),Windows  OS X  Linux  Android  iPhone  Palm webOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[added]
Zetta.net,Windows  OS X  Linux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],, Preserve file name case & file metadata,[null],[added]
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
