Driver,Chipset,Free firmware<ref group="note" name="free firmware" />,License,Development
IWIDarwin,Intel PRO/Wireless 2100/2200BG/2225BG/2915ABG/3945ABG/4965AGN,[null],GPL,Port from Linux
WirelessDriver<ref></ref>,Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO)  Intersil PRISM-2 802.11b,[null],BSD,[null]
GTdriver,PRISM-GT 802.11b/g,[null],GPL,[null]
