+
Web host
Amazon Drive<ref name="Muchmore"></ref>
Amazon S3<ref></ref>
Baidu Cloud
Backblaze B2
BorgBase
Box<ref></ref><ref></ref>
CloudMe<ref></ref>
Dropbox<ref></ref>
Google Drive<ref></ref><ref></ref>
IBM Connections Files Cloud
Apple iCloud<ref></ref>
Jumpshare
MediaFire<ref></ref>
Mega<ref></ref>
OneDrive<ref></ref>
SecureSafe<ref name="mikel backup"></ref>
SugarSync<ref></ref>
Tencent Weiyun<ref></ref>
TitanFile
Tresorit<ref></ref>
Wasabi
Yandex Disk
Web host
