[null],Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
4D (4th Dimension),4D S.A.S.,1984,v16.0,2017-01-10<ref>http://www.4d.com/products/lifecycle.html</ref>,[null],[null]
ADABAS,Software AG,1970,8.1,2013-06,[null],[null]
Adaptive Server Enterprise,SAP AG,1987,16.0 SP03 PL07,2019-06-10,[null],[null]
Advantage Database Server (ADS),SAP AG,1992,12.0,2015,[null],[null]
Altibase,Altibase Corp.,2000,7.1.0.1.2,2018-03-02,GNU-AGPLv3; GNU-LGPLv3(for client-libraries),[null]
Apache Derby,Apache,2004,10.15.1.3<ref></ref>,2019-03-11,[null],<ref>Derby - ASF JIRA</ref>
ClustrixDB,MariaDB Corporation,2010,v7.0,2015-08-19,[null],[null]
CUBRID,NHN Corporation,2008-11,10.1.0,2017-07-14,[null],<ref>CUBRID / Jira Issue tracker for CUBRID</ref>
Datacom,CA  Inc.,Early 70s<ref></ref>,14<ref></ref>,2012<ref></ref>,[null],[null]
DB2,IBM,1983,11.1,2016-04-12,[null],[null]
Empress Embedded Database,Empress Software Inc,1979,10.20,2010-03,[null],[null]
EXASolution,EXASOL AG,2004,6.0.0,2017-03-17,[null],[null]
FileMaker,FileMaker  Inc.  an Apple subsidiary,1985-04,18,2019-05-22,[null],[null]
Firebird,Firebird project,2000-07-25,3.0.4,2018-10-04,</ref> and IDPL<ref></ref>}},<ref>Firebird RDBMS Issue Tracker</ref>
GPUdb,GIS Federal,2014,3.2.5,2015-01-14,[null],[null]
HSQLDB,HSQL Development Group,2001,2.4.1,2018-05-20,[null],<ref>HyperSQL Database Engine (HSQLDB) / Bugs</ref>
H2,H2 Software,2005,1.4.197,2018-03-18,[null],<ref>h2database issues</ref>
Informix Dynamic Server,IBM,1981????1980,14.10.xC3,2019-12-05,[null],[null]
Ingres,Ingres Corp.,1974,10.2,2014-09-30,[null],[null]
InterBase,Embarcadero,1984,XE7 v12.0.4.357,2015-08-12,[null],[null]
Linter SQL RDBMS,RELEX Group,1990,6.0.17.53,2018-02-15,[null],<ref>Linter Techsupport</ref>
LucidDB,The Eigenbase Project,2007-01,0.9.4,2012-01-05,[null],[null]
MariaDB,MariaDB Community,2010-02-01,10.4.11,2019-12-11<ref></ref>,</ref>}},<ref>MariaDB - JIRA</ref>
MaxDB,SAP AG,2003-05,7.9.0.8,2014,[null],<ref>MaxDB - Problem Tracking</ref>
Microsoft Access (JET),Microsoft,1992,16 (2016),2015-09-22,[null],[null]
Microsoft Visual Foxpro,Microsoft,1984,9 (2005),2007-10-11,[null],[null]
Microsoft SQL Server,Microsoft,1989,2017 (14),2017-10-02,[null],[null]
Microsoft SQL Server Compact (Embedded Database),Microsoft,2000,2011 (v4.0),[null],[null],[null]
Mimer SQL,Mimer Information Technology,1978,v10.1.5A,2019-02-28,[null],[null]
MonetDB,The MonetDB Team / CWI,2004,Nov2019-SP1,2019-12-20,</ref>}},<ref>MonetDB Bugzilla</ref>
mSQL,Hughes Technologies,1994,4.1<ref></ref>,2017-06-30,[null],[null]
MySQL,Oracle Corporation,1995-11,8.0.18<ref name="mysql_release"></ref>,2019-10-14,[null],<ref>MySQL Bugs</ref>
MemSQL,MemSQL,2012-06,5.8.6 (2017),2017-06-30,[null],[null]
NexusDB,NexusDB Pty Ltd,2003,4.00.14,2015-06-25,[null],[null]
HP NonStop SQL,Hewlett-Packard,1987,SQL/MX 3.4,[null],[null],[null]
NuoDB,NuoDB,2013,3.0.1,[null],[null],[null]
Omnis Studio,TigerLogic Inc,1982-07,6.1.3 Release 1no,2015-12,[null],[null]
OpenBase SQL,OpenBase International,1991,11.0.0,[null],[null],[null]
OpenEdge,Progress Software Corporation,1984,11.6.3,2016-08-19,[null],[null]
OpenLink Virtuoso,OpenLink Software,1998,7.2.5.1,2018-08-15,[null],<ref>Issues · openlink/virtuoso-opensource · GitHub</ref>
Oracle DB,Oracle Corporation,1979-11,18.1.0.0,2018-07-23<ref></ref>,[null],[null]
Oracle Rdb,Oracle Corporation,1984,7.3.3.1.0,2019-03-21<ref></ref>,[null],[null]
Paradox,Corel Corporation,1985,11,2009-09-07,[null],[null]
Percona Server for MySQL,Percona,2006,8.0.18-9<ref>https://www.percona.com/doc/percona-server/8.0/release-notes/Percona-Server-8.0.18-9.html</ref>,2019-12-11,[null],[null]
Pervasive PSQL,Pervasive Software,1982,v12,2015,[null],[null]
Polyhedra DBMS,ENEA AB,1993,9.0,2015-06-24,, with Polyhedra Lite available as Freeware<ref name = "poly_lite">.</ref>,[null]
PostgreSQL,PostgreSQL Global Development Group,1989-06,12.1,2019-11-14<ref></ref>,</ref>}},<ref>A bug tracker for PostgreSQL?</ref>
R:Base,R:BASE Technologies,1982,10.0,2016-05-26,[null],[null]
Raima Database Manager,Raima Inc.,1984,14.1,2018-03-23,[null],[null]
RDM Server,Raima Inc.,1993,8.4,2012-10-31,[null],[null]
SAP HANA,SAP AG,2010,2.0 SPS04,2019-08-08,[null],[null]
solidDB,UNICOM Global,1992,7.0.0.10,2014-04-29,[null],[null]
SQL Anywhere,SAP AG,1992,17.0.0.48,2019-07-26,[null],[null]
SQLBase,Unify Corp.,1982,11.5,2008-11,[null],[null]
SQLite,D. Richard Hipp,2000-09-12,3.30.1,2019-10-11<ref></ref>,[null],<ref>SQLite: Ticket Main Menu</ref>
SQream DB,SQream Technologies,2014,2.1<ref></ref>,2018-01-15,[null],[null]
Superbase,Superbase,1984,Scientific (2004),[null],[null],[null]
Teradata,Teradata,1984,15,2014-04,[null],[null]
Tibero,TmaxSoft,1992,6,2015-04,[null],[null]
TiDB,Apache,2016,3.0.0,2019-06-28<ref>,<ref>https://github.com/pingcap/tidb/issues</ref>,[added]
UniData,Rocket Software,1988,8.2.1,2017-07,[null],[null]
YugaByte DB,Apache,2018,1.3.1,2019-07-30<ref>,<ref>https://github.com/YugaByte/yugabyte-db/issues</ref>,[added]
[null],Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
