[null],Creator,Latest release date,Current stable version,Programming language,License
bbPress<ref></ref>,WordPress Foundation,2019-09-04,5.2.3,PHP<ref name=":2"></ref>,GPL<ref></ref>
Beehive Forum<ref></ref>,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
Discourse<ref></ref>,Civilized Discourse Construction Kit  Inc.,2019-11-06,2.3.6,Ruby  JavaScript,GPL
Discuz!<ref></ref>,Comsenz Inc.,2018-01-01,X3.4,PHP,Discuz! EULA (proprietary  gratis for non-commercial use)
FluxBB<ref></ref>,FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
FUDforum<ref></ref>,Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
Ikonboard<ref></ref>,Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
Invision Power Board<ref></ref>,Invision Power Services Inc.,2019-06-12,4.4.4,PHP,Proprietary
MyBB<ref></ref>,MyBB Group,2019-12-30,1.8.22,PHP,LGPL  moving to BSD in 2.0<ref></ref>
Phorum<ref> Open Source PHP Forum Software|url = http://www.phorum.org/|website = www.phorum.org|accessdate = 2015-11-24}}</ref>,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
phpBB<ref></ref>,phpBB Ltd.,2019-05-05,3.2.8,PHP,GPL
PunBB<ref></ref>,PunBB,2015-10-14,1.4.4,PHP,GPL
Simple Machines Forum<ref></ref>,Simple Machines,2019-12-30<ref name="simplemachines.org"></ref>,2.0.17<ref name="simplemachines.org"/>,PHP,BSD License
Syndie<ref></ref>,Anonymous (related to I2P),2014-08-14,1.107b,Java,Open source  multiple licenses
Thredded<ref name="thredded"></ref>,Joel Oliveira  Gleb Mazovetskiy  et al.,2019-08-17,0.16.13,Ruby,MIT
Vanilla Forums<ref></ref>,Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary/GPL<ref></ref>
vBulletin<ref></ref>,vBulletin Solutions Inc.,2019-05-14,5.5.2,PHP<ref></ref>,Proprietary<ref></ref>
XenForo,XenForo Limited  Kier Darby  Mike Sullivan.,2019-11-06,2.1.5,PHP<ref></ref>,Proprietary
[null],Creator,Latest release date,Current stable version,Programming language,License
