Kernel,Acorn ADFS,Amiga FFS,BeFS,BFS,cramfs,EFS,ext2,ext3,ext4,F2FS,FAT,FreeVxFS,HFS,HFS+,HPFS,ISO 9660,JFFS,JFFS2,JFS,MINIX fs,NSS,NTFS,OCFS,QNX4 FS,System V FS,UDF,UFS,XFS,ZFS,ReiserFS,Reiser4,Btrfs,HAMMER,Tux3,exFAT,ReFS
DragonFly BSD kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeBSD kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Linux kernel,<ref name="experi">experimental and dangerous write support</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="experi"/> <ref>write support currently broken</ref>,[null],[null],<ref name="experi"/>,[null],[null],[null],[null],[null],[null],[null],</ref>)}},[null]
MINIX 3 kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NetWare kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReactOS kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="reactos-fs">Version Status - ReactOS</ref>,[null],[null],[null],[null],<ref name="reactos-fs"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="reactos-fs"/>,[null],[null],[null],[null],[null],<ref name="win-btrfs">additional driver needed - see https://github.com/maharmstone/btrfs</ref>,[null],[null],[null],[null]
Solaris kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Windows NT kernel,[null],[null],[null],[null],[null],[null],<ref name=windowsextdriver>additional driver needed - see http://www.fs-driver.org/</ref>,<ref name=winext2fsd>additional driver needed - see http://www.ext2fsd.com </ref>,<ref name="winext2fsd"/>,[null],[null],[null],<ref name=windowsext>additional driver needed</ref>,<ref name="windowsext"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="win-btrfs"/>,[null],[null],[null],[null]
XNU,[null],[null],[null],[null],[null],[null],<ref name="Macext">Third party module required. Mac OS X Kernel Module available here</ref>,<ref name="Macext"/>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
