Country,Resolution,Satellite,Year launched
[null],0.25 meter,Cartosat-3,2019
[null],0.4 meter,IGS Optical 5V,2013
[null],0.5 meter,Ofeq 9,2010
[null],0.5 meter,Gaofen 9,2015
[null],0.7 meter,KOMPSAT-3,2012
[null],150 meters,Rasad 1,2011
