IDE,Developer,Latest stable release,Platform,License
Eclipse DLTK,[null],5.0,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[null]
Komodo IDE / Edit,ActiveState,9.0.1,Cross-platform,[null]
SlickEdit,SlickEdit,October 2016 v.21,Windows  Linux  macOS  AIX  Solaris  HP-UX,[null]
