[null],Modeling,3D Painting,Animation,Rendering,3D Tracking,Compositing
3ds Max,[null],[null],[null],[null],[null],[null]
AC3D,[null],?,?,[null],[null],[null]
Blender,[null],[null],[null],[null],[null],[null]
Electric Image Animation System,[null],?,[null],[null],[null],?
Cinema 4D,[null],[null],[null],[null],[null],[null]
Clara.io,[null],?,[null],[null],[null],?
Cobalt,[null],?,[null],[null],[null],?
HiCAD,[null],[null],[null],[null],[null],[null]
Houdini,[null],[null],[null],[null],[null],[null]
IClone,[null],?,[null],[null],?,?
Lightwave 3D,[null],[null],[null],[null],[null],[null]
MakeHuman,[null],[null],[null],[null],[null],[null]
Maya,[null],[null],[null],[null],[null],[null]
Metasequoia,[null],[null],[null],[null],[null],[null]
Modo,[null],[null],[null],[null],[null],[null]
Remo 3D,[null],[null],[null],[null],[null],[null]
Shade,[null],[null],[null],[null],[null],[null]
Softimage,[null],[null],[null],[null],[null],[null]
Solid Edge,[null],?,[null],[null],[null],?
SketchUp Make,<ref name=sketchup_features></ref><ref name=sketchup3Dmodel>SketchUp User Guide: Creating a 3D Model</ref>,?,<ref name=sketchup_features/>,<ref name=sketchup_features/>,[null],[null]
SketchUp Pro,<ref name=sketchup_features/><ref name=sketchup3Dmodel/>,?,<ref name=sketchup_features/>,<ref name=sketchup_features/>,[null],[null]
Wings3D,[null],?,[null],[null],[null],?
