Vehicle,Origin,Manufacturer,Mass to ... (kg),Launches,Date of flight
Titan IVA,[null],Martin Marietta,<ref name="gsp-titan"></ref>,with IUS,to SSO<ref name="gsp-titan"/> to GSO with Centaur to escape with IUS }}
Titan IVB,[null],Lockheed Martin,<ref name="titan4"></ref>,<ref name="titan4" /> (9.000 with upper stage),[null]
Tsyklon-2A,[null],Yuzhmash,<ref>astronautix.com  Tsyklon-2A </ref>,[null],[null]
Tsyklon-2,[null],Yuzhmash,<ref>astronautix.com  Tsyklon-2 </ref>,[null],[null]
Tsyklon-3,[null],Yuzhmash,<ref>nasaspaceflight.com  Tsyklon-3</ref>,[null],[null]
Vanguard,[null],Martin,<ref>astronautix.com  vanguard </ref>,[null],[null]
Vector-R,[null],Vector Space Systems,<ref name=vector-space-com></ref>,[null],[null]
Vector-H,[null],Vector Space Systems,<ref name=gsp-vector></ref>,[null],[null]
VLS-1,[null],AEB  IAE,<ref></ref>,[null],[null]
Volna,[null],Makeyev,<ref></ref>,[null],[null]
Voskhod,[null],RSC Energia,<ref>Handbook of Space Engineering  Archaeology  and Heritage by Ann Darrin  Beth L. O'Leary  page 116</ref>,[null],[null]
Vostok-L,[null],RSC Energia,[null],[null],to TLI<ref></ref>
Vostok-K,[null],RSC Energia,<ref name="Spacecraft - Vostok"></ref>,[null],[null]
Vostok-2,[null],RSC Energia,<ref name="Spacecraft - Vostok"/>,[null],[null]
Vostok-2M,[null],RSC Energia,<ref></ref>,[null],[null]
Soyuz/Vostok,[null],RSC Energia,<ref>astronautix.com  Soyuz/Vostok </ref>,[null],[null]
Zenit-2,[null],Yuzhnoye,<ref name="slr_zenit"></ref>,[null],[null]
Zenit-2M / 2SLB,[null],Yuzhnoye,<ref name="slr_zenit"/>,[null],[null]
