Kernel name,Intel,NVIDIA,AMD,ARM,Qualcomm,Imagination Technologies,Broadcom,VeriSilicon
Intel HD/Iris Graphics,GeForce/Quadro/Tesla,Radeon,Mali,Adreno,PowerVR,VideoCore4,Vivante,[added]
Linux kernel,[null],[null],[null],[null],[null],[null],[null],[null]
Windows NT kernel,[null],[null],[null],{{?}},[null],{{?}},{{?}},{{?}}
XNU,colspan=3,[null],[null],[null],[null],[null],[added],[added]
