Software,Hosted Platform,On-Premises Platform,Encryption level,Multi-user support,Access permissions,LDAP integration,Information-level permissions,Workspace-level permissions,Role-level permissions,Notes
Connectbeam,[null],[null],?,[null],[null],[null],?,?,?,none
Dogear,[null],[null],?,[null],[null],[null],?,?,?,The Lotus Connection Suite with Dogear runs on the AIX (Unix) operating system
Jumper 2.0,[null],[null],HTTPS optionally available,[null],[null],[null],[null],[null],[null],LDAP integration is available
Knowledge Plaza,[null],[null],HTTPS with high-grade 256-bit AES,[null],[null],[null],[null],[null],[null],none
Scuttle,[null],[null],HTTPS optionally available <ref>Scuttle with server certificate without registration</ref>,[null],[null],[null],[null],?,[null],none
