Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management<ref></ref>,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location(s),Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting,OpenSaaS
Acronis,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],(Enterprise),(Only win/mac),[null],[null],Acronis,[null],[null],[null],[null],[null], ,[null],[null],[null],[null],[null],[null]
Backblaze,[null],[null],[null],[null],[null],<ref name="backblaze1">How Backblaze uses Encryption to Protect your Data</ref>,<ref name="backblaze1"/> Company must be given passphrase (to private key) to restore any data.,No,[null],[null],[null],[null],Backblaze,[null],[null],[null],[null],[null], ,[null],[null],[null],[null],[null],[null]
Barracuda Backup Service,[null],[null],[null],[null],[null],<ref></ref>,[null],?,fee per computer,[null],[null],[null],Barracuda Backup Service,[null],[null],[null],[null],[null],, Canada  APAC ,[null],[null],[null],[null],[null],[null]
Baidu Cloud,[null],[null],[null],[null],[null],<ref></ref>,[null],?,[null],[null],[null],[null],Baidu,[null],[null],[null],[null],[null],[null],[null],<ref>https://yun.baidu.com/buy/center?tag=4&from=#question=diff-vip</ref>,[null],[null],[null],[null]
Box,[null],[null],[null],[null],[null],<ref name="autogenerated1"></ref>,<ref name="autogenerated1"/>,?,[null],[null],[null],[null],Box,<ref></ref>,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Carbonite,[null],[null],[null],[null],[null],[null],, optional for Windows only<ref>Managing Your Private Encryption Key</ref>,?,(Business only),(Home only),<ref>Bandwidth Allocation   retrieved 2012-01-25</ref>,<ref></ref>,Carbonite,[null],[null],[null],<ref>HomePremier and Business plans only: </ref>,[null],[null],[null],[null],<ref>HomePlus  HomePremier and Business plans only: </ref>,[null],[null],[null]
CloudBerry Backup,[null],[null],[null],[null],[null],<ref name="CBB">CloudBerry Backup FAQ page</ref>,<ref name="CBB"/>,[null],[null],[null],[null],[null],CloudBerry Backup,[null],[null],[null],[null],[null],Global,[null],[null],[null],[null],[null],[null]
CloudMe,[null],[null],[null],[null],[null],, but 3rd party apps available,[null],?,[null],[null],[null],[null],CloudMe,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Comodo Backup,[null],[null],[null],[null],[null],<ref></ref>,[null],?,[null],[null],(5),[null],Comodo Backup,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CrashPlan,[null],[null],[null],[null],[null],<ref name="crashplan1"></ref>,, except for web restore<ref name="crashplan2"></ref>,[null],[null],[null],[null],<ref>http://support.crashplan.com/doku.php/faq/mozy#are_crashplan_unlimited_plans_really_unlimited  throttled by setting by default http://support.crashplan.com/doku.php/reference_guide/settings#network </ref>,CrashPlan,[null],[null],<ref></ref>,[null],[null],, <ref></ref>,[null],[null],<ref>https://support.code42.com/CrashPlan/4/Backup/Back_up_external_hard_drives</ref>,[null],[null],[null]
Dropbox,[null],[null],[null],[null],[null],[null],<ref>Dropbox Lied to Users About Data Security  Complaint to FTC Alleges | Threat Level | Wired.com</ref>,?,[null],[null],[null],[null],Dropbox,[null],[null],[null],[null],[null],[null],[null],</ref>}},[null],[null],[null],[null]
Dropmysite,[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],Dropmysite,[null],[null],[null],[null],[null],Global,[null],[null],[null],[null],[null],[null]
Egnyte,[null],[null],[null],[null],[null],<ref name="egnyte1">Security & Privacy - Online Storage Protection and Secure File Sharing for Egnyte Cloud File Server</ref>,<ref name="egnyte1"/>,?,[null],[null],[null],[null],Egnyte,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null]
