Be File System,[null],[null],[null],- read-only,[null],[null],[null],[null],[null],[null],[null],[null]
NSS,[null],[null],[null],via EVMS,[null],[null],[null],[null],[null],[null],[null],[null]
NWFS,(with Novell drivers),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ODS-2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ODS-5,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
UDF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
VxFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Fossil,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ZFS,[null],[null],<ref></ref>,with FUSE<ref name="zfs on fuse"></ref> or as an external kernel module<ref name="ZoL"></ref>,[null],with Read/Write Developer Preview<ref name="zfs on mac os x"></ref>,[null],[null],[null],[null],[null],[null]
Btrfs,[null],[null],with WinBtrfs<ref name="Github btrfs"></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
VMFS2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
VMFS3,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IBM HFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IBM zFS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReFS,[null],[null],(from Windows Server 2012 and from Windows 8.1),- with Paragon ReFS for Linux,[null],[null],[null],[null],[null],[null],[null],[null]
ISO 9660,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Rock Ridge,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Joliet ("CDFS"),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SquashFS,[null],[null],(There are ports of unsquashfs and mksquashfs.),[null],[null],(There are ports of unsquashfs and mksquashfs.),(There are ports of unsquashfs and mksquashfs and fusefs-port.<ref></ref><ref></ref>),[null],[null],[null],[null],[null]
File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
