Company,Software,On-demand<br />scan,On-access<br />scan,Boot-time<br />scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live<br />Update,Support,Settings Import/<br />Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
Bitdefender,Bitdefender Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],?,<ref name=":0">uses http</ref>,[null],[null],2008,Romania,[null],[added]
Check Point,ZoneAlarm PRO Antivirus + Firewall,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,[null],[null],2002,Israel,[null],Third-party antivirus engine (Kaspersky) <ref></ref>,[added]
Check Point,ZoneAlarm Extreme Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,[null],[null],2002,United States,[null],[added],[added]
Cisco (originally Immunet),Immunet,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2010,United States,[null],Third-party antivirus engine (ClamAV)
ClamWin,ClamWin,[null],(with Winpooch or Clam Sentinel),(with Clam Sentinel),[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2002,Australia,[null],Third-party antivirus engine (ClamAV)
Comodo Group,Comodo Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],[null],*,[null],[null],*,[null],[null],?,[null],[null],2008,United States,[null],*Protection via containment of untrusted executable code,[added]
Comodo Group,Comodo Internet Security,[null],[null],[null],[null],[null],[null],[null],[null],[null],*,[null],[null],*,[null],[null],?,[null],[null],2010,United States,[null],*Protection via containment of untrusted executable code,[added]
Dr.Web,Dr.Web Anti-virus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],*,[null],[null],[null],[null],[null],[null],1992,Russia,Igor Danilov,*macOS/Linux feature only,[added]
Dr.Web,Dr.Web Security Space,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],2006,Russia,Igor Danilov,[added],[added]
ESET,ESET NOD32 Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],<ref name=eset_webprotection_1>ESET Knowledgebase  http://kb.eset.com/esetkb/index?page=content&id=SOLN2820</ref><ref name=eset_webprotection_2>ESET Knowledgebase  http://kb.eset.com/esetkb/index?page=content&id=SOLN2844</ref>,[null],[null],[null],?,[null],[null],1987,Slovakia,Peter Paško and Miroslav Trnka,[added],[added]
ESET,ESET Smart Security,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],<ref name="eset_webprotection_1" /><ref name="eset_webprotection_2" />,[null],[null],[null],<ref name=":0"/>,[null],[null],2007,Slovakia,Peter Paško and Miroslav Trnka,[added],[added]
F-Secure,F-Secure Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1991,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
F-Secure,F-Secure SAFE,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2004,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
FRISK Software,F-PROT Antivirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1989,Iceland,Friðrik Skúlason (second engine also with Dr. Vesselin Bontchev),[added]
Fortinet,FortiClient,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2004,United States,[null],[added]
G Data Software,G DATA AntiVirus,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],1987,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
G Data Software,G DATA InternetSecurity,[null],[null],[null],[null],[null],[null],[null],[null],?,[null],[null],[null],[null],[null],[null],?,?,[null],[null],2004,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
