System,Documentation integration/generation  reporting,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA">System supports service level agreement management</ref>,Plugin API<ref name="ReferenceAPI">System has a plugin API to allow integration with other products</ref>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
Apache Bloodhound,, integrated wiki,[null],[null],[null],[null],[null],[null],(as of 0.6),[null],<ref></ref> uses Whoosh,[null],[null]
Assembla Tickets,, Wiki syntax  email notification  linking to Subversion commits  document manager  charts  reports  notifications,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Axosoft,, Team Wiki  Burndown  GitHub and TortoiseSVN integration  dashboards  custom reports for OnPremises  e-mail notifications and alerts  customer portal  RSS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bugzilla,, reporting: integrated reports and charts  scheduled reports by mail,<ref></ref>,[null],[null],[null],[null],[null],[null],<ref></ref>,When using MySQL MyISAM<ref></ref> or Oracle Database<ref></ref> but not PostgreSQL<ref></ref>,[null],<ref>Bugzilla 3.4.2 Release Notes</ref>
Debbugs,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Faveo Helpdesk,, Integrated Social Media  In-built Knowledge Base and Reporting,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FogBugz,, Integrated wiki,[null],[null],[null],[null],[null],<ref></ref>,[null],<ref></ref>,<ref></ref>,<ref></ref>,[null]
Fossil,, Integrated Wiki in addition to integrated versioned project documentation via web ui.,[null],[null],[null],[null],[null],[null],<ref></ref>,<ref></ref>,[null],[null],[null]
FusionForge,, integrated Mediawiki  discussion forums  news blogs  email integration  export to CSV  reporting graphs,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GLPI,, Contains a proprietary knowledge base of sorts,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GNATS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
HP Quality Center,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IBM Rational ClearQuest,, reporting: integrated charts and interface to Crystal Reports,[null],[null],[null],[null],[null],[null],[null],<ref></ref>,uses Solr and Lucene,[null],[null]
IBM Rational Team Concert,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
