Oracle E-Business Suite,Proprietary,[null],[null],[null],High-end market,ERP,Web-based
Oracle Fusion Cloud ERP,Proprietary,[null],[null],[null],High-end market,ERP  Financial Management  Supply Chain Management  Human Capital Management  Enterprise Performance Management,Web-based
Oracle PeopleSoft Enterprise,Proprietary,[null],[null],[null],High-end market,ERP  Financial Management  Supply Chain Management  Human Capital Management  Customer Relationship Management  Enterprise Performance Management,Web-based
Postbooks,Proprietary,[null],[null],[null],Low to mid-market,Professional Services,Client-server
Outright,Software as a service and freeware,[null],[null],[null],Entrepreneurs  freelancers  Contractors  Consultants  Small businesses - Low-end market,Bookkeeping  Taxes  E-commerce  Reporting & Business Intelligence,Web-based
Passport Software,Proprietary,[null],[null],[null],Mid- to low-end market,General ledger  accounts receivable  Accounts payable  ERP,Stand-alone
POS solutions,Proprietary,[null],[null],[null],Newsagency pharmacy,POS,Stand-alone
QuickBooks Enterprise Solutions,Proprietary,[null],[null],[null],Mid-market,Business management  Payroll,Stand-alone
QuickBooks Online,Proprietary,[null],[null],[null],Low-end market,Accounts receivable  accounts payable  Double-entry accounting  Small Business Accounting  Multi-currency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and bank-to-bank Payments  inventory items  expense management,Web-based
QuickBooks Pro/Premier,Proprietary,[null],[null],[null],Low to mid-market,Accounts receivable  accounts payable  Double-entry accounting  Small Business Accounting  Multi-currency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and bank-to-bank Payments  inventory items  expense management  fixed asset depreciation,Stand-alone
Red Wing Software,Proprietary,[null],[null],[null],Low to mid-market,Payroll  general ledger  accounts receivable  accounts payable  Double-entry bookkeeping system  fund accounting  inventory management  procurement  order entry/tracking  small business accounting,Stand-alone
Sage Group,Proprietary,[null],[null],[null],Accounting Firms,CRM  payroll,Stand-alone
Sage Accounting,Proprietary,[null],[null],[null],Low-end market (for SME),Accounts receivable  accounts payable  Double-entry accounting  Small Business Accounting  Multi-currency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and bank-to-bank Payments  inventory items  expense management,Web-based
Sage 50cloud,Proprietary,[null],[null],[null],Low-end to High end,Business management. Financials  Inventory  Manufacturing  Job Costing  POS  Procurement  CRM  Business Intelligence  Payroll  HR; features and OS support dependent on country.,Stand-alone
Sage Intacct,Proprietary,[null],[null],[null],Small & Midsize Enterprises (SME),Accounts Payable  Accounts Receivable  Cash Management  Collaborate  Contract and Subscription Billing  Contract Revenue Management  Fixed Assets  General Ledger  Inventory Management  Multi-Entity and Global Consolidations  Order Management  Project Accounting  Purchasing  Reporting and Dashboards  Sales and Use Tax  Spend Management  Time and Expense Management  Vendor Payment Services,Web-based
Sage 300 ERP,Proprietary,[null],[null],[null],Mid-market,ERP  Multicurrency  Intercompany  Reporting & Analysis services  Project & Job costing  general ledger  accounts receivable  accounts payable  Inventory control,Stand-alone and Web-based
Sage Enterprise Management,Proprietary,[null],[null],[null],Mid-market,ERP  Multicurrency  Intercompany  Reporting & Analysis services  Project & Job costing  general ledger  accounts receivable  accounts payable  Inventory control,Stand-alone and Web-based
SAP Business ByDesign,Proprietary,[null],[null],[null],Small & midsize enterprises (SME),ERP  Financial Management  Supply Chain Management  Supplier Relationship Management  Project Management  Human Capital Management  Customer Relationship Management  Enterprise Performance Management,Web-based
SAP Business One,Proprietary,[null],[null],(Server only)<ref></ref>,Small & midsize enterprises (SME),ERP  e-commerce,Stand-alone
SAP ERP,Proprietary,[null],[null],[null],Midsize to High-end,ERP  CRM  SCM  SRM  PLM  Global Trade Services (GTS)  e-commerce  Business Intelligence  Mobile Business,Stand-alone and Web-based
Sybiz Vision,Proprietary and Software as a service,[null],[null],[null],Low- to high-end market,Accounting software  payroll  manufacturing  project management  job costing  multi-currency  inventory management  traceability and auditing  business intelligence  budgeting  reporting and analytics,Stand-alone  Multi-User/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
Tally.ERP 9,Proprietary and Software as a service,[null],[null],[null],Low to high-end market,Accounting  Accounting software  payroll  inventory management  Accounts receivable  Accounts payable  General ledger  Billing  Stock/inventory  Purchase order  sales order  Bookkeeping  Financial Close Management  Balance Sheets  Point of Sale  Business Reporting and analytics,Stand-alone  Multi-User/Location  Web Access  Mobile Access
TRAVERSE,Proprietary,[null],[null],[null],Low to mid-market,ERP  CRM  SCM  Intercompany  Multicurrency  Manufacturing  Distribution  E-commerce  Mobile Business Solutions  Reporting & Business Intelligence,Stand-alone
Wave Accounting,Proprietary,[null],[null],[null],Entrepreneurs  freelancers  contractors  consultants  small businesses – Low-end market),Accounts receivable  accounts payable  Double-entry bookkeeping system  Small Business Accounting  Multi-currency  automatic bank feeds  small business reporting  payroll integration,Web-based
Xero,Software as a Service,[null],[null],[null],Low to mid-market. Small & midsize enterprises (SME),Accounts receivable  accounts payable  Double-entry bookkeeping system  Small Business Accounting  Multi-currency  automatic bank feeds  standard business reporting  management reporting  fixed asset depreciation  payroll  inventory items  expenses management,Web-based
ZipBooks,Proprietary,[null],[null],[null],Low to mid-market,Invoicing  expense tracking  time tracking  credit card processing  bank integration,Web-based
[added],[added],[added],[added],[added],[added],[added],[added]
Package,License,Windows,OS X,Linux,Market focus,Type,Structure
